ID,LAT,LON,DEPTH,X,Y,Z,YR,MO,DY,HR,MI,SC,MAG,A,Strike1,Dip1,Rake1,Strike2,Dip2,Rake2,Pazim,Pdip,Tazim,Tdip,Q,Type,Loc
,50.2047,12.4516,9.822,,,,2008,10,7,19,20,,2.3,1,283.81,66.2,-144.9,177.98,58.26,-28.33,306.34,-41.1,220.69,4.97,1,,
,50.2063,12.4516,9.887,,,,2008,10,7,20,21,,2.1,1,158.66,78.55,-32.47,255.86,58.26,-166.5,157.34,30.83,239.17,-13.4,1,,
,50.2059,12.4524,9.7,,,,2008,10,7,23,49,,2.2,1,153.14,79,-28.65,249.09,61.92,-167.51,162.27,27.89,66.14,11.41,1,,
,50.2065,12.4517,9.851,,,,2008,10,8,0,14,,2.3,1,158.17,79.31,-31.27,254.6,59.33,-167.54,157.87,29.46,240.22,-13.27,1,,
,50.2014,12.4511,10.048,,,,2008,10,8,0,56,,2.1,1,167.61,68.08,-25.63,267.76,66.34,-155.95,322.75,-33.21,232.01,-1.13,1,,
,50.2039,12.4539,9.332,,,,2008,10,8,1,15,,2.1,1,157.95,85.99,-28.04,250.08,62.04,-175.46,159.59,22.4,62.63,16.39,1,,
,50.2021,12.454,9.835,,,,2008,10,8,1,27,,2.4,1,256.04,69.19,-159.41,158.44,70.81,-22.1,153.1,28.93,62.5,1.08,1,,
,50.2084,12.4507,9.67,,,,2008,10,8,2,32,,2.4,1,252.82,58.86,-159.49,151.87,72.55,-32.83,161.41,35.29,65.09,8.84,1,,
,50.2051,12.4526,9.698,,,,2008,10,8,3,40,,2.1,1,180.66,67.58,-33.85,285.01,59,-153.58,129.95,39.33,35.49,5.42,1,,
,50.2115,12.4507,9.284,,,,2008,10,8,16,55,,2.1,1,165.26,78.54,-33.61,262.78,57.15,-166.32,150.99,31.61,52.12,14.07,1,,
,50.212,12.4504,9.66,,,,2008,10,9,20,3,,2.1,1,255.38,60.46,-157.48,153.83,70.53,-31.53,158.21,35.75,63.52,6.49,1,,
,50.2116,12.4507,9.717,,,,2008,10,9,21,53,,2.5,1,161.45,65.19,-38.65,270,55.47,-149.37,328.13,-44.23,232.28,-5.98,1,,
,50.2127,12.4504,9.641,,,,2008,10,9,22,15,,2.5,1,163.22,79.59,-32.06,259.67,58.52,-167.77,333.11,-29.8,234.92,-13.97,1,,
,50.2113,12.4509,9.407,,,,2008,10,9,22,20,,2.7,1,154.15,76.49,-28.77,251.45,62.09,-164.67,160.3,29.74,64.79,9.54,1,,
,50.2128,12.45,9.372,,,,2008,10,9,22,20,,3.6,1,167.12,79.49,-30.75,263.31,59.82,-167.82,148.88,28.98,51.48,13.09,1,,
,50.2112,12.4507,9.284,,,,2008,10,10,0,39,,3,1,246.33,72.11,179.44,336.5,89.47,17.89,160,12.16,67.16,12.93,1,,
,50.215,12.4494,9.832,,,,2008,10,10,1,49,,2.1,1,261.53,59.32,-172.16,167.51,83.27,-30.92,149.88,26.34,51.65,16.13,1,,
,50.2161,12.4499,9.235,,,,2008,10,10,2,16,,2.1,1,215.28,81.76,-14.91,307.46,75.25,-171.48,99.32,16.34,187.99,-4.51,1,,
,50.2151,12.4499,9.883,,,,2008,10,10,2,35,,2.2,1,259.19,60.85,-173.84,166.18,84.62,-29.29,151.26,24.25,233.76,-16.15,1,,
,50.2166,12.4499,8.959,,,,2008,10,10,3,2,,2.4,1,255.14,59.82,-168.71,159.41,80.25,-30.67,156.86,28.37,239.34,-13.64,1,,
,50.2162,12.4502,8.94,,,,2008,10,10,3,3,,2.5,1,158.43,78.57,-35.17,256.38,55.63,-166.11,158.22,32.64,238.33,-15.02,1,,
,50.2159,12.45,9.098,,,,2008,10,10,3,18,,2.4,1,312.14,24.51,-171.45,214.35,86.46,-65.73,122.07,43.39,346.95,36.85,1,,
,50.2066,12.4535,9.072,,,,2008,10,10,3,23,,2.7,1,162.59,81.58,-16.13,255.02,74.05,-171.24,152.05,17.33,60.42,5.21,1,,
,50.2026,12.4544,9.03,,,,2008,10,10,3,44,,2.1,1,161.32,70.56,-16.73,257.03,74.25,-159.77,150.18,25.3,241.35,2.49,1,,
,50.2079,12.4502,10.296,,,,2008,10,10,3,45,,2.1,1,265.89,58.21,-138.25,150.71,55.53,-39.71,150.32,50.6,62.26,-1.59,1,,
,50.2072,12.4537,8.98,,,,2008,10,10,3,46,,2.1,1,160.51,76.16,-31.44,258.83,59.57,-163.89,154.25,31.82,57.4,10.89,1,,
,50.2178,12.4489,9.359,,,,2008,10,10,3,48,,2.3,1,161.99,62.36,-29.37,266.63,64.25,-148.99,145.08,39.44,56.06,-1.19,1,,
,50.2041,12.4543,9.032,,,,2008,10,10,3,57,,2.2,1,160.71,70.36,-23.67,259.1,67.79,-158.71,150.67,30.33,239.67,-1.7,1,,
,50.2151,12.4497,9.762,,,,2008,10,10,4,13,,2.3,1,171.32,89.79,-32.49,261.46,57.51,-179.75,328.48,-22.48,228.77,-22.16,1,,
,50.2125,12.4509,9.211,,,,2008,10,10,4,26,,2.3,1,169.3,80.67,-33.26,265.37,57.24,-168.89,327.74,-29.82,228.56,-15.55,1,,
,50.2167,12.4487,9.512,,,,2008,10,10,4,52,,2.8,1,171.92,80.39,-32.58,268.01,57.94,-168.64,324.84,-29.57,226.15,-14.91,1,,
,50.2182,12.4491,9.307,,,,2008,10,10,5,13,,2.6,1,268.55,60.96,-164.52,170.9,76.51,-29.95,323.75,-30.55,227.62,-10.27,1,,
,50.2111,12.4514,9.2,,,,2008,10,10,6,27,,2.5,1,164.09,81.03,-30.74,259.39,59.68,-169.59,152.48,27.86,234.75,-14.29,1,,
,50.2071,12.4533,9.039,,,,2008,10,10,6,34,,2.8,1,164.22,77.22,-24.87,260.07,65.79,-165.97,149.98,26.51,56.12,7.68,1,,
,50.2172,12.4491,9.628,,,,2008,10,10,8,12,,2.5,1,167.02,86.63,-27.84,258.8,62.21,-176.19,150.65,21.79,53.74,16.74,1,,
,50.2056,12.4527,9.869,,,,2008,10,10,8,13,,2.1,1,252.02,59.37,-162.24,152.75,74.78,-31.88,161.47,33.08,64.83,10.06,1,,
,50.2167,12.45,9.217,,,,2008,10,10,8,30,,2.3,1,171.62,81.57,-34.24,267.32,56.18,-169.84,326.02,-29.82,226.03,-16.85,1,,
,50.2175,12.4488,9.361,,,,2008,10,10,8,43,,2.3,1,171.41,80.36,-31.02,267.16,59.46,-168.78,144.98,28.53,227.23,-13.94,1,,
,50.2054,12.4534,9.058,,,,2008,10,10,9,55,,2.3,1,163.91,75.74,-16.04,257.96,74.46,-165.19,149.25,21.32,58.91,0.87,1,,
,50.2189,12.4486,9.405,,,,2008,10,10,11,18,,2.1,1,263.57,58.17,-159.74,162.55,72.89,-33.5,151.02,35.52,234.16,-9.49,1,,
,50.2185,12.4489,9.389,,,,2008,10,10,11,18,,3.3,1,267.51,58.96,-166.22,170.3,78.22,-31.78,325.41,-30.59,227.74,-12.73,1,,
,50.2204,12.4485,9.336,,,,2008,10,10,12,18,,2.2,1,172.55,79.86,-33.66,269.24,56.93,-167.87,324.26,-30.68,225.02,-15.15,1,,
,50.2208,12.4486,9.31,,,,2008,10,10,12,33,,2.1,1,175.48,86.02,-34.01,268.15,56.08,-175.21,323.67,-26.34,223.17,-20.21,1,,
,50.221,12.4486,9.33,,,,2008,10,10,12,48,,2.1,1,178.86,85.58,-31.51,271.57,58.59,-174.81,319.44,-25.02,220.56,-18.3,1,,
,50.2128,12.4481,9.92,,,,2008,10,10,14,12,,2.1,1,195.87,60.47,-33.13,303.7,61.6,-145.92,109.78,43.22,200.44,0.7,1,,
,50.2216,12.4487,9.307,,,,2008,10,10,14,28,,2.3,1,168.75,80.18,-31.56,264.73,58.96,-168.51,327.69,-29.03,49.66,14.13,1,,
,50.2164,12.4494,9.347,,,,2008,10,10,14,52,,2.2,1,264.89,59.57,-164.19,166.73,76.41,-31.4,148.14,31.62,51.22,11.07,1,,
,50.213,12.45,9.959,,,,2008,10,10,16,20,,2.7,1,197.4,68.57,-45.98,308.11,47.98,-150.54,116.47,47.03,192.81,-12.41,1,,
,50.2138,12.4492,9.938,,,,2008,10,10,17,55,,2.4,1,200.35,66.27,-66.21,332.74,33.11,-132.54,303.25,-61.27,357.09,17.92,1,,
,50.218,12.4486,9.391,,,,2008,10,10,19,8,,3,1,168.11,79.32,-31.31,264.55,59.29,-167.55,147.94,29.48,50.26,13.3,1,,
,50.2161,12.4489,9.507,,,,2008,10,10,19,14,,2.6,1,167.81,84.5,-26.94,260.6,63.19,-173.84,149.07,22.75,52.83,14.54,1,,
,50.2211,12.4484,9.308,,,,2008,10,10,21,41,,2.7,1,171.66,82.58,-33.56,266.55,56.75,-171.12,326.18,-28.62,226.43,-17.24,1,,
,50.2207,12.4485,9.345,,,,2008,10,10,22,19,,2.6,1,171.74,78.1,-26.89,267.71,63.74,-166.7,143.05,27.31,228.03,-9.62,1,,
,50.2193,12.4489,9.324,,,,2008,10,10,22,36,,2.2,1,268.5,56.48,-163.37,169.14,76.2,-34.65,146.31,34,227.49,-12.81,1,,
,50.2169,12.4507,8.446,,,,2008,10,11,1,34,,2.3,1,159.82,79.58,-37.89,257.83,52.84,-166.88,158.05,33.71,235.97,-17.41,1,,
,50.2247,12.4471,9.305,,,,2008,10,11,4,6,,2.3,1,253.67,59.86,174.58,346.4,85.32,30.25,153.83,17.29,55.72,24.38,1,,
,50.2242,12.4473,9.135,,,,2008,10,11,5,7,,2.4,1,256.71,60.33,169.99,351.7,81.32,30.05,149.17,14.08,231.77,-27.18,1,,
,50.2242,12.4468,8.896,,,,2008,10,11,5,13,,2.3,1,252.41,61.79,169.95,347.2,81.16,28.58,153.21,13.03,56.64,26.29,1,,
,50.2237,12.4468,8.981,,,,2008,10,11,5,55,,2.5,1,253.66,58.32,176.31,345.6,86.86,31.73,154.78,19.43,55.65,24.21,1,,
,50.223,12.4481,9.293,,,,2008,10,11,8,34,,2.1,1,352.37,80.61,32.69,256.4,57.8,168.88,329.57,-15.15,230.76,-29.48,1,,
,50.2128,12.4476,10.355,,,,2008,10,12,6,35,,2.3,1,302.78,52.76,-140.23,186.05,59.38,-44.68,119.2,52,204.21,-3.89,1,,
,50.2134,12.4508,9.112,,,,2008,10,12,6,39,,2.8,1,261.81,62.94,-165.52,165.11,77.14,-27.82,329.45,-28.63,234.24,-9.45,1,,
,50.2097,12.4526,8.732,,,,2008,10,12,7,8,,2.3,1,164.25,78.03,-29.79,261.02,60.92,-166.27,330.99,-29.36,234.5,-11.36,1,,
,50.2081,12.4535,8.675,,,,2008,10,12,7,15,,2.2,1,256.42,64.26,-155.96,155.46,68.47,-27.84,155.18,34.51,63.3,2.73,1,,
