ID,LAT,LON,DEPTH,X,Y,Z,EX,EY,EZ,YR,MO,DY,HR,MI,SC,MAG,NCCP,NCCS,NCTP,NCTS,RCC,RCT,CID
2008302,50.2192,12.4459,-10.1630,317799.6081,5566124.6502,-10163.0000,0.0000,0.0000,0.0000,2008,8,20,16,44,21.4600,0.8300,0,0,0,0,0,0,1
2008333,50.2055,12.4540,-8.7940,318325.3258,5564581.8624,-8794.0000,0.0000,0.0000,0.0000,2008,8,24,7,26,45.7800,0.6400,0,0,0,0,0,0,1
2008334,50.2053,12.4540,-8.8030,318324.5661,5564559.6287,-8803.0000,0.0000,0.0000,0.0000,2008,8,24,7,26,52.3600,0.6600,0,0,0,0,0,0,1
2008373,50.2018,12.4534,-9.8180,318268.4609,5564172.0009,-9818.0000,0.0000,0.0000,0.0000,2008,10,6,2,1,55.9200,0.5900,0,0,0,0,0,0,1
2008376,50.2018,12.4538,-9.8870,318297.0025,5564171.0257,-9887.0000,0.0000,0.0000,0.0000,2008,10,6,2,5,36.0200,0.6500,0,0,0,0,0,0,1
2008379,50.2015,12.4542,-9.8140,318324.4048,5564136.7000,-9814.0000,0.0000,0.0000,0.0000,2008,10,6,2,39,11.8500,0.7200,0,0,0,0,0,0,1
2008389,50.2024,12.4532,-9.8070,318256.4696,5564239.1898,-9807.0000,0.0000,0.0000,0.0000,2008,10,6,2,50,28.5800,0.5500,0,0,0,0,0,0,1
2008405,50.2022,12.4540,-9.7320,318312.7925,5564215.0056,-9732.0000,0.0000,0.0000,0.0000,2008,10,6,3,38,8.2600,0.8900,0,0,0,0,0,0,1
2008409,50.2017,12.4539,-9.8650,318303.7581,5564159.6650,-9865.0000,0.0000,0.0000,0.0000,2008,10,6,3,39,28.9200,1.6000,0,0,0,0,0,0,1
2008413,50.2021,12.4539,-9.7680,318305.2773,5564204.1325,-9768.0000,0.0000,0.0000,0.0000,2008,10,6,3,42,28.5600,1.6000,0,0,0,0,0,0,1
2008415,50.2018,12.4536,-9.7540,318282.7317,5564171.5133,-9754.0000,0.0000,0.0000,0.0000,2008,10,6,3,44,10.8200,0.5000,0,0,0,0,0,0,1
2008430,50.2030,12.4529,-9.8190,318237.3434,5564306.6226,-9819.0000,0.0000,0.0000,0.0000,2008,10,6,3,46,58.5400,1.3000,0,0,0,0,0,0,1
2008444,50.2019,12.4539,-9.7890,318304.5177,5564181.8988,-9789.0000,0.0000,0.0000,0.0000,2008,10,6,3,50,7.4900,0.6700,0,0,0,0,0,0,1
2008444,50.2019,12.4539,-9.7890,318304.5177,5564181.8988,-9789.0000,0.0000,0.0000,0.0000,2008,10,6,3,50,7.4900,0.6700,0,0,0,0,0,0,1
2008446,50.2019,12.4545,-9.7510,318347.3300,5564180.4363,-9751.0000,0.0000,0.0000,0.0000,2008,10,6,3,51,0.7800,0.6100,0,0,0,0,0,0,1
2008449,50.2029,12.4525,-9.8850,318208.4225,5564296.4813,-9885.0000,0.0000,0.0000,0.0000,2008,10,6,3,52,38.8500,0.5300,0,0,0,0,0,0,1
2008452,50.2019,12.4544,-9.6860,318340.1946,5564180.6800,-9686.0000,0.0000,0.0000,0.0000,2008,10,6,3,55,38.1400,0.5700,0,0,0,0,0,0,1
2008454,50.2017,12.4550,-9.6640,318382.2477,5564156.9841,-9664.0000,0.0000,0.0000,0.0000,2008,10,6,3,58,3.9400,0.6100,0,0,0,0,0,0,1
2008455,50.2034,12.4527,-9.9030,318224.5929,5564351.5778,-9903.0000,0.0000,0.0000,0.0000,2008,10,6,3,59,0.8100,2.0000,0,0,0,0,0,0,1
2008456,50.2020,12.4538,-9.8720,318297.7622,5564193.2594,-9872.0000,0.0000,0.0000,0.0000,2008,10,6,3,59,17.2200,0.9600,0,0,0,0,0,0,1
2008471,50.2017,12.4550,-9.6930,318382.2477,5564156.9841,-9693.0000,0.0000,0.0000,0.0000,2008,10,6,4,1,5.2600,0.5300,0,0,0,0,0,0,1
2008472,50.2030,12.4536,-9.7170,318287.2899,5564304.9157,-9717.0000,0.0000,0.0000,0.0000,2008,10,6,4,1,19.6700,2.0000,0,0,0,0,0,0,1
2008473,50.2035,12.4533,-9.7190,318267.7838,5564361.2315,-9719.0000,0.0000,0.0000,0.0000,2008,10,6,4,1,31.6900,1.8000,0,0,0,0,0,0,1
2008474,50.2017,12.4545,-9.6970,318346.5706,5564158.2026,-9697.0000,0.0000,0.0000,0.0000,2008,10,6,4,1,40.6300,1.1000,0,0,0,0,0,0,1
2008475,50.2019,12.4548,-9.7080,318368.7362,5564179.7052,-9708.0000,0.0000,0.0000,0.0000,2008,10,6,4,1,49.9700,0.9300,0,0,0,0,0,0,1
2008480,50.2017,12.4549,-9.6570,318375.1122,5564157.2278,-9657.0000,0.0000,0.0000,0.0000,2008,10,6,4,4,14.5600,0.9100,0,0,0,0,0,0,1
2008481,50.2043,12.4530,-9.7000,318249.4179,5564450.8980,-9700.0000,0.0000,0.0000,0.0000,2008,10,6,4,5,49.8000,1.8000,0,0,0,0,0,0,1
2008482,50.2015,12.4549,-9.7120,318374.3529,5564134.9940,-9712.0000,0.0000,0.0000,0.0000,2008,10,6,4,6,11.4800,0.6600,0,0,0,0,0,0,1
2008487,50.2034,12.4526,-9.7790,318217.4578,5564351.8217,-9779.0000,0.0000,0.0000,0.0000,2008,10,6,4,9,13.5400,0.5200,0,0,0,0,0,0,1
2008488,50.2035,12.4527,-9.7510,318224.9729,5564362.6947,-9751.0000,0.0000,0.0000,0.0000,2008,10,6,4,9,17.2000,0.7600,0,0,0,0,0,0,1
2008489,50.2028,12.4525,-9.9120,318208.0425,5564285.3644,-9912.0000,0.0000,0.0000,0.0000,2008,10,6,4,10,46.1300,0.6700,0,0,0,0,0,0,1
2008490,50.2033,12.4543,-9.7220,318338.3757,5564336.5600,-9722.0000,0.0000,0.0000,0.0000,2008,10,6,4,11,7.9000,1.2000,0,0,0,0,0,0,1
2008493,50.2011,12.4548,-9.7930,318365.6988,5564090.7702,-9793.0000,0.0000,0.0000,0.0000,2008,10,6,4,12,12.5400,2.0000,0,0,0,0,0,0,1
2008494,50.2035,12.4527,-9.7660,318224.9729,5564362.6947,-9766.0000,0.0000,0.0000,0.0000,2008,10,6,4,12,45.1300,1.5000,0,0,0,0,0,0,1
2008495,50.2011,12.4548,-9.7170,318365.6988,5564090.7702,-9717.0000,0.0000,0.0000,0.0000,2008,10,6,4,12,57.6300,0.9600,0,0,0,0,0,0,1
2008496,50.2031,12.4537,-9.7200,318294.8050,5564315.7888,-9720.0000,0.0000,0.0000,0.0000,2008,10,6,4,14,0.3500,1.3000,0,0,0,0,0,0,1
2008506,50.2025,12.4544,-9.7040,318342.4730,5564247.3813,-9704.0000,0.0000,0.0000,0.0000,2008,10,6,4,20,35.2000,1.0000,0,0,0,0,0,0,1
2008507,50.2011,12.4555,-9.6850,318415.6474,5564089.0646,-9685.0000,0.0000,0.0000,0.0000,2008,10,6,4,23,22.6100,1.0000,0,0,0,0,0,0,1
2008508,50.2018,12.4547,-9.7080,318361.2211,5564168.8320,-9708.0000,0.0000,0.0000,0.0000,2008,10,6,4,31,52.5700,0.9200,0,0,0,0,0,0,1
2008509,50.2013,12.4548,-9.7090,318366.4582,5564113.0040,-9709.0000,0.0000,0.0000,0.0000,2008,10,6,4,35,50.5900,0.9400,0,0,0,0,0,0,1
2008510,50.2014,12.4546,-9.7040,318352.5669,5564124.6082,-9704.0000,0.0000,0.0000,0.0000,2008,10,6,4,42,35.6300,0.7400,0,0,0,0,0,0,1
2008513,50.2014,12.4548,-9.6620,318366.8378,5564124.1208,-9662.0000,0.0000,0.0000,0.0000,2008,10,6,4,50,59.2400,0.5700,0,0,0,0,0,0,1
2008515,50.2013,12.4547,-9.6780,318359.3227,5564113.2477,-9678.0000,0.0000,0.0000,0.0000,2008,10,6,4,54,16.5800,1.7000,0,0,0,0,0,0,1
2008521,50.2010,12.4553,-9.6610,318400.9968,5564078.4350,-9661.0000,0.0000,0.0000,0.0000,2008,10,6,4,55,27.9700,0.8600,0,0,0,0,0,0,1
2008526,50.2012,12.4545,-9.6210,318344.6720,5564102.6182,-9621.0000,0.0000,0.0000,0.0000,2008,10,6,4,59,34.9700,0.7500,0,0,0,0,0,0,1
2008527,50.2009,12.4546,-9.6670,318350.6685,5564069.0239,-9667.0000,0.0000,0.0000,0.0000,2008,10,6,5,0,20.2800,0.5100,0,0,0,0,0,0,1
2008531,50.2009,12.4550,-9.6700,318379.2106,5564068.0491,-9670.0000,0.0000,0.0000,0.0000,2008,10,6,5,4,20.1200,0.6800,0,0,0,0,0,0,1
2008543,50.2008,12.4554,-9.6620,318407.3731,5564055.9576,-9662.0000,0.0000,0.0000,0.0000,2008,10,6,5,9,8.3500,0.7500,0,0,0,0,0,0,1
2008547,50.2008,12.4543,-9.7990,318328.8821,5564058.6382,-9799.0000,0.0000,0.0000,0.0000,2008,10,6,5,10,13.1500,0.5400,0,0,0,0,0,0,1
2008551,50.2007,12.4553,-9.6970,318399.8580,5564045.0844,-9697.0000,0.0000,0.0000,0.0000,2008,10,6,5,15,13.7500,0.5700,0,0,0,0,0,0,1
2008554,50.2039,12.4522,-9.8190,318190.8175,5564408.3817,-9819.0000,0.0000,0.0000,0.0000,2008,10,6,5,25,19.2100,0.7100,0,0,0,0,0,0,1
2008562,50.2039,12.4526,-9.8270,318219.3578,5564407.4061,-9827.0000,0.0000,0.0000,0.0000,2008,10,6,5,53,18.5200,0.7800,0,0,0,0,0,0,1
2008571,50.2037,12.4516,-9.8530,318147.2467,5564387.6118,-9853.0000,0.0000,0.0000,0.0000,2008,10,6,6,5,14.0300,0.8400,0,0,0,0,0,0,1
2008573,50.2041,12.4521,-9.7940,318184.4425,5564430.8594,-9794.0000,0.0000,0.0000,0.0000,2008,10,6,6,9,3.6300,0.7200,0,0,0,0,0,0,1
2008576,50.2031,12.4526,-9.8750,318216.3178,5564318.4711,-9875.0000,0.0000,0.0000,0.0000,2008,10,6,6,12,11.6900,0.7000,0,0,0,0,0,0,1
