ID,LAT,LON,DEPTH,X,Y,Z,EX,EY,EZ,YR,MO,DY,HR,MI,SC,MAG,NCCP,NCCS,NCTP,NCTS,RCC,RCT,CID
2008302,50.2192,12.4459,10.163,317799.6081,5566124.6502,10163,0,0,0,2008,8,20,16,44,21.46,0.83,0,0,0,0,0,0,1
2008333,50.2055,12.454,8.794,318325.3258,5564581.8624,8794,0,0,0,2008,8,24,7,26,45.78,0.64,0,0,0,0,0,0,1
2008334,50.2053,12.454,8.803,318324.5661,5564559.6287,8803,0,0,0,2008,8,24,7,26,52.36,0.66,0,0,0,0,0,0,1
2008373,50.2018,12.4534,9.818,318268.4609,5564172.0009,9818,0,0,0,2008,10,6,2,1,55.92,0.59,0,0,0,0,0,0,1
2008376,50.2018,12.4538,9.887,318297.0025,5564171.0257,9887,0,0,0,2008,10,6,2,5,36.02,0.65,0,0,0,0,0,0,1
2008379,50.2015,12.4542,9.814,318324.4048,5564136.7,9814,0,0,0,2008,10,6,2,39,11.85,0.72,0,0,0,0,0,0,1
2008389,50.2024,12.4532,9.807,318256.4696,5564239.1898,9807,0,0,0,2008,10,6,2,50,28.58,0.55,0,0,0,0,0,0,1
2008405,50.2022,12.454,9.732,318312.7925,5564215.0056,9732,0,0,0,2008,10,6,3,38,8.26,0.89,0,0,0,0,0,0,1
2008409,50.2017,12.4539,9.865,318303.7581,5564159.665,9865,0,0,0,2008,10,6,3,39,28.92,1.6,0,0,0,0,0,0,1
2008413,50.2021,12.4539,9.768,318305.2773,5564204.1325,9768,0,0,0,2008,10,6,3,42,28.56,1.6,0,0,0,0,0,0,1
2008415,50.2018,12.4536,9.754,318282.7317,5564171.5133,9754,0,0,0,2008,10,6,3,44,10.82,0.5,0,0,0,0,0,0,1
2008430,50.203,12.4529,9.819,318237.3434,5564306.6226,9819,0,0,0,2008,10,6,3,46,58.54,1.3,0,0,0,0,0,0,1
2008444,50.2019,12.4539,9.789,318304.5177,5564181.8988,9789,0,0,0,2008,10,6,3,50,7.49,0.67,0,0,0,0,0,0,1
2008444,50.2019,12.4539,9.789,318304.5177,5564181.8988,9789,0,0,0,2008,10,6,3,50,7.49,0.67,0,0,0,0,0,0,1
2008446,50.2019,12.4545,9.751,318347.33,5564180.4363,9751,0,0,0,2008,10,6,3,51,0.78,0.61,0,0,0,0,0,0,1
2008449,50.2029,12.4525,9.885,318208.4225,5564296.4813,9885,0,0,0,2008,10,6,3,52,38.85,0.53,0,0,0,0,0,0,1
2008452,50.2019,12.4544,9.686,318340.1946,5564180.68,9686,0,0,0,2008,10,6,3,55,38.14,0.57,0,0,0,0,0,0,1
2008454,50.2017,12.455,9.664,318382.2477,5564156.9841,9664,0,0,0,2008,10,6,3,58,3.94,0.61,0,0,0,0,0,0,1
2008455,50.2034,12.4527,9.903,318224.5929,5564351.5778,9903,0,0,0,2008,10,6,3,59,0.81,2,0,0,0,0,0,0,1
2008456,50.202,12.4538,9.872,318297.7622,5564193.2594,9872,0,0,0,2008,10,6,3,59,17.22,0.96,0,0,0,0,0,0,1
2008471,50.2017,12.455,9.693,318382.2477,5564156.9841,9693,0,0,0,2008,10,6,4,1,5.26,0.53,0,0,0,0,0,0,1
2008472,50.203,12.4536,9.717,318287.2899,5564304.9157,9717,0,0,0,2008,10,6,4,1,19.67,2,0,0,0,0,0,0,1
2008473,50.2035,12.4533,9.719,318267.7838,5564361.2315,9719,0,0,0,2008,10,6,4,1,31.69,1.8,0,0,0,0,0,0,1
2008474,50.2017,12.4545,9.697,318346.5706,5564158.2026,9697,0,0,0,2008,10,6,4,1,40.63,1.1,0,0,0,0,0,0,1
2008475,50.2019,12.4548,9.708,318368.7362,5564179.7052,9708,0,0,0,2008,10,6,4,1,49.97,0.93,0,0,0,0,0,0,1
2008480,50.2017,12.4549,9.657,318375.1122,5564157.2278,9657,0,0,0,2008,10,6,4,4,14.56,0.91,0,0,0,0,0,0,1
2008481,50.2043,12.453,9.7,318249.4179,5564450.898,9700,0,0,0,2008,10,6,4,5,49.8,1.8,0,0,0,0,0,0,1
2008482,50.2015,12.4549,9.712,318374.3529,5564134.994,9712,0,0,0,2008,10,6,4,6,11.48,0.66,0,0,0,0,0,0,1
2008487,50.2034,12.4526,9.779,318217.4578,5564351.8217,9779,0,0,0,2008,10,6,4,9,13.54,0.52,0,0,0,0,0,0,1
2008488,50.2035,12.4527,9.751,318224.9729,5564362.6947,9751,0,0,0,2008,10,6,4,9,17.2,0.76,0,0,0,0,0,0,1
2008489,50.2028,12.4525,9.912,318208.0425,5564285.3644,9912,0,0,0,2008,10,6,4,10,46.13,0.67,0,0,0,0,0,0,1
2008490,50.2033,12.4543,9.722,318338.3757,5564336.56,9722,0,0,0,2008,10,6,4,11,7.9,1.2,0,0,0,0,0,0,1
2008493,50.2011,12.4548,9.793,318365.6988,5564090.7702,9793,0,0,0,2008,10,6,4,12,12.54,2,0,0,0,0,0,0,1
2008494,50.2035,12.4527,9.766,318224.9729,5564362.6947,9766,0,0,0,2008,10,6,4,12,45.13,1.5,0,0,0,0,0,0,1
2008495,50.2011,12.4548,9.717,318365.6988,5564090.7702,9717,0,0,0,2008,10,6,4,12,57.63,0.96,0,0,0,0,0,0,1
2008496,50.2031,12.4537,9.72,318294.805,5564315.7888,9720,0,0,0,2008,10,6,4,14,0.35,1.3,0,0,0,0,0,0,1
2008506,50.2025,12.4544,9.704,318342.473,5564247.3813,9704,0,0,0,2008,10,6,4,20,35.2,1,0,0,0,0,0,0,1
2008507,50.2011,12.4555,9.685,318415.6474,5564089.0646,9685,0,0,0,2008,10,6,4,23,22.61,1,0,0,0,0,0,0,1
2008508,50.2018,12.4547,9.708,318361.2211,5564168.832,9708,0,0,0,2008,10,6,4,31,52.57,0.92,0,0,0,0,0,0,1
2008509,50.2013,12.4548,9.709,318366.4582,5564113.004,9709,0,0,0,2008,10,6,4,35,50.59,0.94,0,0,0,0,0,0,1
2008510,50.2014,12.4546,9.704,318352.5669,5564124.6082,9704,0,0,0,2008,10,6,4,42,35.63,0.74,0,0,0,0,0,0,1
2008513,50.2014,12.4548,9.662,318366.8378,5564124.1208,9662,0,0,0,2008,10,6,4,50,59.24,0.57,0,0,0,0,0,0,1
2008515,50.2013,12.4547,9.678,318359.3227,5564113.2477,9678,0,0,0,2008,10,6,4,54,16.58,1.7,0,0,0,0,0,0,1
2008521,50.201,12.4553,9.661,318400.9968,5564078.435,9661,0,0,0,2008,10,6,4,55,27.97,0.86,0,0,0,0,0,0,1
2008526,50.2012,12.4545,9.621,318344.672,5564102.6182,9621,0,0,0,2008,10,6,4,59,34.97,0.75,0,0,0,0,0,0,1
2008527,50.2009,12.4546,9.667,318350.6685,5564069.0239,9667,0,0,0,2008,10,6,5,0,20.28,0.51,0,0,0,0,0,0,1
2008531,50.2009,12.455,9.67,318379.2106,5564068.0491,9670,0,0,0,2008,10,6,5,4,20.12,0.68,0,0,0,0,0,0,1
2008543,50.2008,12.4554,9.662,318407.3731,5564055.9576,9662,0,0,0,2008,10,6,5,9,8.35,0.75,0,0,0,0,0,0,1
2008547,50.2008,12.4543,9.799,318328.8821,5564058.6382,9799,0,0,0,2008,10,6,5,10,13.15,0.54,0,0,0,0,0,0,1
2008551,50.2007,12.4553,9.697,318399.858,5564045.0844,9697,0,0,0,2008,10,6,5,15,13.75,0.57,0,0,0,0,0,0,1
2008554,50.2039,12.4522,9.819,318190.8175,5564408.3817,9819,0,0,0,2008,10,6,5,25,19.21,0.71,0,0,0,0,0,0,1
2008562,50.2039,12.4526,9.827,318219.3578,5564407.4061,9827,0,0,0,2008,10,6,5,53,18.52,0.78,0,0,0,0,0,0,1
2008571,50.2037,12.4516,9.853,318147.2467,5564387.6118,9853,0,0,0,2008,10,6,6,5,14.03,0.84,0,0,0,0,0,0,1
2008573,50.2041,12.4521,9.794,318184.4425,5564430.8594,9794,0,0,0,2008,10,6,6,9,3.63,0.72,0,0,0,0,0,0,1
2008576,50.2031,12.4526,9.875,318216.3178,5564318.4711,9875,0,0,0,2008,10,6,6,12,11.69,0.7,0,0,0,0,0,0,1
2008577,50.2027,12.4523,9.928,318193.392,5564274.7354,9928,0,0,0,2008,10,6,6,28,40.58,0.68,0,0,0,0,0,0,1
2008583,50.2019,12.4531,9.876,318247.4347,5564183.8493,9876,0,0,0,2008,10,6,6,44,48.92,0.88,0,0,0,0,0,0,1
2008589,50.2024,12.455,9.634,318384.9051,5564234.8022,9634,0,0,0,2008,10,6,7,52,32.14,0.96,0,0,0,0,0,0,1
2008595,50.2023,12.4552,9.579,318398.7961,5564223.198,9579,0,0,0,2008,10,6,8,42,36.45,0.78,0,0,0,0,0,0,1
2008598,50.2036,12.4511,9.913,318111.1909,5564377.715,9913,0,0,0,2008,10,6,9,21,13.38,0.95,0,0,0,0,0,0,1
