ID,LAT,LON,DEPTH,X,Y,Z,YR,MO,DY,HR,MI,SC,MAG,A,Strike1,Dip1,Rake1,Strike2,Dip2,Rake2,Pazim,Pdip,Tazim,Tdip,Q,Type,Loc,time
6520,50.2047,12.4516,-9.822,318151.0482370178,5564498.780483942,-9822.0,2008,10,7,19,20,18.44,2.3,0,283.81,66.2,-144.9,177.98,58.26,-28.33,306.3378582505777,-41.099081865155824,220.6899228176383,4.9717147009174,1,,,2008-10-07 19:20:18.440
6588,50.2063,12.4516,-9.887,318157.1308656001,5564676.650437395,-9887.0,2008,10,7,20,21,28.04,2.1,0,158.66,78.55,-32.47,255.86,58.26,-166.5,157.33595488089355,30.825865233250017,239.1651380635579,-13.396660519753516,1,,,2008-10-07 20:21:28.040
6874,50.2059,12.4524,-9.7,318212.6884520027,5564630.231332461,-9700.0,2008,10,7,23,49,32.98,2.2,0,153.14,79.0,-28.65,249.09,61.92,-167.51,162.267658110598,27.886485248029985,66.13546391997284,11.412819997399074,1,,,2008-10-07 23:49:32.980
7017,50.2065,12.4517,-9.851,318165.02589639067,5564698.640200144,-9851.0,2008,10,8,0,14,40.8,2.3,0,158.17,79.31,-31.27,254.6,59.33,-167.54,157.87073863669414,29.461199139914157,240.2163316784343,-13.267891559531108,1,,,2008-10-08 00:14:40.800
20081253,50.2014,12.4511,-10.048,318102.82599972404,5564133.143934445,-10048.0,2008,10,8,0,56,10.24,2.1,0,167.61,68.08,-25.63,267.76,66.34,-155.95,322.74944007624777,-33.21098410328362,232.00729925962676,-1.1334560750913656,1,,,2008-10-08 00:56:10.240
7168,50.2039,12.4539,-9.332,318312.1138509889,5564404.236216541,-9332.0,2008,10,8,1,15,11.12,2.1,0,157.95,85.99,-28.04,250.08,62.04,-175.46,159.5934605221591,22.39792761543703,62.63198843955366,16.387977761189696,1,,,2008-10-08 01:15:11.120
7186,50.2021,12.454,-9.835,318312.4126781039,5564203.888753308,-9835.0,2008,10,8,1,27,12.93,2.4,0,256.04,69.19,-159.41,158.44,70.81,-22.1,153.09745335512528,28.925071004325627,62.50328887241511,1.075069379608539,1,,,2008-10-08 01:27:12.930
7225,50.2084,12.4507,-9.67,318100.9048608126,5564912.3010738455,-9670.0,2008,10,8,2,32,7.8,2.4,0,252.82,58.86,-159.49,151.87,72.55,-32.83,161.41166472751792,35.2901473885098,65.09445612137479,8.836560074346067,1,,,2008-10-08 02:32:07.800
7269,50.2051,12.4526,-9.698,318223.9178975215,5564540.808535881,-9698.0,2008,10,8,3,40,24.0,2.1,0,180.66,67.58,-33.85,285.01,59.0,-153.58,129.94579409018377,39.33007368092473,35.488944554375465,5.417690449214189,1,,,2008-10-08 03:40:24.000
7420,50.2115,12.4507,-9.284,318112.69488975126,5565256.924278286,-9284.0,2008,10,8,16,55,0.77,2.1,0,165.26,78.54,-33.61,262.78,57.15,-166.32,150.99345008395247,31.607477978191262,52.12089658912964,14.070509698903924,1,,,2008-10-08 16:55:00.770
7547,50.212,12.4504,-9.66,318093.1949482872,5565313.240923144,-9660.0,2008,10,9,20,3,28.3,2.1,0,255.38,60.46,-157.48,153.83,70.53,-31.53,158.2146282596496,35.74984436434146,63.51827686989936,6.488498036761315,1,,,2008-10-09 20:03:28.300
7575,50.2116,12.4507,-9.717,318113.07522219536,5565268.041158319,-9717.0,2008,10,9,21,53,47.12,2.5,0,161.45,65.19,-38.65,270.0,55.47,-149.37,328.1305000136465,-44.23319212077863,232.2781835309766,-5.9788546585258855,1,,,2008-10-09 21:53:47.120
7603,50.2127,12.4504,-9.641,318095.8576202581,5565391.059088757,-9641.0,2008,10,9,22,15,55.0,2.5,0,163.22,79.59,-32.06,259.67,58.52,-167.77,333.1050795486484,-29.796891970237773,234.91595148542712,-13.968682173625856,1,,,2008-10-09 22:15:55.000
7606,50.2113,12.4509,-9.407,318126.20217561914,5565234.202402313,-9407.0,2008,10,9,22,20,33.92,2.7,0,154.15,76.49,-28.77,251.45,62.09,-164.67,160.30006206009088,29.742342922543425,64.79035764084988,9.538997654037942,1,,,2008-10-09 22:20:33.920
7607,50.2128,12.45,-9.372,318067.70300446067,5565403.152423535,-9372.0,2008,10,9,22,20,37.76,3.6,0,167.12,79.49,-30.75,263.31,59.82,-167.82,148.880585171687,28.97674702079301,51.48190021434749,13.090627607731228,1,,,2008-10-09 22:20:37.760
7851,50.2112,12.4507,-9.284,318111.5538957674,5565223.573639109,-9284.0,2008,10,10,0,39,45.05,3.0,0,246.33,72.11,179.44,336.5,89.47,17.89,159.99770637387132,12.159838650574128,67.16175044721331,12.931934988630806,1,,,2008-10-10 00:39:45.050
8090,50.215,12.4494,-9.832,318033.2723813048,5565649.188786999,-9832.0,2008,10,10,1,49,46.16,2.1,0,261.53,59.32,-172.16,167.51,83.27,-30.92,149.88406701248437,26.34338399574615,51.64990174121168,16.13147021891634,1,,,2008-10-10 01:49:46.160
8143,50.2161,12.4499,-9.235,318073.12470214907,5565770.253708559,-9235.0,2008,10,10,2,16,34.09,2.1,0,215.28,81.76,-14.91,307.46,75.25,-171.48,99.31603226369492,16.344005883845508,187.98914338533305,-4.514929897752288,1,,,2008-10-10 02:16:34.090
8205,50.2151,12.4499,-9.883,318069.31995692773,5565659.084858152,-9883.0,2008,10,10,2,35,11.56,2.2,0,259.19,60.85,-173.84,166.18,84.62,-29.29,151.25848195216847,24.248592780721857,233.76325908049168,-16.150640420425038,1,,,2008-10-10 02:35:11.560
8277,50.2166,12.4499,-8.959,318075.0270956937,5565825.838139556,-8959.0,2008,10,10,3,2,45.4,2.4,0,255.14,59.82,-168.71,159.41,80.25,-30.67,156.86494049775254,28.36876750959368,239.3358864123916,-13.639156245269094,1,,,2008-10-10 03:02:45.400
20082411,50.2162,12.4502,-8.94,318094.9049058101,5565780.638227248,-8940.0,2008,10,10,3,3,7.98,2.5,0,158.43,78.57,-35.17,256.38,55.63,-166.11,158.22272190389353,32.63917528947654,238.32951437616867,-15.016141089070686,1,,,2008-10-10 03:03:07.980
8308,50.2159,12.45,-9.098,318079.49703536555,5565747.77580479,-9098.0,2008,10,10,3,18,9.24,2.4,0,312.14,24.51,-171.45,214.35,86.46,-65.73,122.07341265149564,43.39316791329383,346.9476251077593,36.85387986058755,1,,,2008-10-10 03:18:09.240
8327,50.2066,12.4535,-9.072,318293.83025904547,5564705.3669997305,-9072.0,2008,10,10,3,23,17.04,2.7,0,162.59,81.58,-16.13,255.02,74.05,-171.24,152.04708709168125,17.32970273904901,60.41699150578601,5.208990474598348,1,,,2008-10-10 03:23:17.040
8465,50.2026,12.4544,-9.03,318342.85272815044,5564258.498124474,-9030.0,2008,10,10,3,44,2.03,2.1,0,161.32,70.56,-16.73,257.03,74.25,-159.77,150.1769093722304,25.2953124829536,241.3531168068859,2.487074995551092,1,,,2008-10-10 03:44:02.030
8467,50.2079,12.4502,-10.296,318063.3308838962,5564857.9371850975,-10296.0,2008,10,10,3,45,0.97,2.1,0,265.89,58.21,-138.25,150.71,55.53,-39.71,150.32318863465505,50.59912868269505,62.25679250550975,-1.5876214436124898,1,,,2008-10-10 03:45:00.970
8471,50.2072,12.4537,-8.98,318310.37876852497,5564771.580670536,-8980.0,2008,10,10,3,46,16.29,2.1,0,160.51,76.16,-31.44,258.83,59.57,-163.89,154.25421786905082,31.821227016518424,57.39571032177223,10.892952127609506,1,,,2008-10-10 03:46:16.290
8480,50.2178,12.4489,-9.359,318008.2628729951,5565961.682611573,-9359.0,2008,10,10,3,48,8.88,2.3,0,161.99,62.36,-29.37,266.63,64.25,-148.99,145.07928966033097,39.43921376343383,56.06054496792903,-1.1927035901512817,1,,,2008-10-10 03:48:08.880
8487,50.2041,12.4543,-9.032,318341.413687935,5564425.494950623,-9032.0,2008,10,10,3,57,19.95,2.2,0,160.71,70.36,-23.67,259.1,67.79,-158.71,150.6701153571656,30.33338928119569,239.67389261622617,-1.701965899025164,1,,,2008-10-10 03:57:19.950
