ID,LAT,LON,DEPTH,X,Y,Z,YR,MO,DY,HR,MI,SC,MAG,A,Strike1,Dip1,Rake1,Strike2,Dip2,Rake2,Pazim,Pdip,Tazim,Tdip,Q,Type,Loc,time
6198,50.2192,12.4459,-10.163,317799.60810065106,5566124.649815332,-10163.0,2008,8,20,16,44,0,0.83,0,291.07,52.06,-140.14,173.9,59.64,-45.44,131.72,52.39,215.95,-4.44,1,,,2008-08-20 16:44:00
20080002,50.2055,12.454,-8.794,318325.3257631083,5564581.862065516,-8794.0,2008,8,24,7,26,0,0.64,0,260.36,64.4,-160.91,161.86,72.84,-26.88,150.81,30.94,57.47,5.56,1,,,2008-08-24 07:26:00
20080003,50.2053,12.454,-8.803,318324.56615239487,5564559.628314171,-8803.0,2008,8,24,7,26,0,0.66,0,257.16,69.58,-162.05,160.71,73.22,-21.37,151.75,26.8,60.52,2.43,1,,,2008-08-24 07:26:00
20080004,50.2018,12.4534,-9.818,318268.4609497562,5564172.000536156,-9818.0,2008,10,6,2,1,0,0.59,0,255.94,62.9,-168.53,160.66,79.8,-27.57,154.85,26.57,239.08,-11.36,1,,,2008-10-06 02:01:00
20080005,50.2018,12.4538,-9.887,318297.00253343605,5564171.025317527,-9887.0,2008,10,6,2,5,0,0.65,0,249.15,64.92,-159.45,150.12,71.46,-26.56,161.9,31.64,69.25,4.3,1,,,2008-10-06 02:05:00
6244,50.2015,12.4542,-9.814,318324.4048549491,5564136.699641676,-9814.0,2008,10,6,2,39,0,0.72,0,253.66,65.69,-165.34,157.52,76.67,-25.03,156.5,27.01,62.73,7.35,1,,,2008-10-06 02:39:00
6252,50.2024,12.4532,-9.807,318256.4695969827,5564239.189418928,-9807.0,2008,10,6,2,50,0,0.55,0,250.56,72.17,-161.19,154.61,72.13,-18.77,157.41,25.69,247.42,0.03,1,,,2008-10-06 02:50:00
6263,50.2022,12.454,-9.732,318312.79247148463,5564215.0052473815,-9732.0,2008,10,6,3,38,0,0.89,0,258.81,62.83,-150.29,154.2,63.83,-30.58,153.82,39.4,63.3,0.64,1,,,2008-10-06 03:38:00
6266,50.2017,12.4539,-9.865,318303.758129666,5564159.664666955,-9865.0,2008,10,6,3,39,0,1.6,0,251.24,69.49,-160.11,154.02,71.42,-21.69,157.76,28.23,247.07,-1.29,1,,,2008-10-06 03:39:00
6269,50.2021,12.4539,-9.768,318305.27733277064,5564204.132147381,-9768.0,2008,10,6,3,42,0,1.6,0,253.14,66.5,-161.51,155.55,73.1,-24.63,157.04,29.18,64.59,4.38,1,,,2008-10-06 03:42:00
6272,50.2018,12.4536,-9.754,318282.73174139624,5564171.512907674,-9754.0,2008,10,6,3,44,0,0.5,0,255.44,69.61,-155.53,156.43,67.16,-22.21,153.49,31.39,244.48,1.61,1,,,2008-10-06 03:44:00
20080012,50.203,12.4529,-9.819,318237.34340694826,5564306.622206945,-9819.0,2008,10,6,3,46,0,1.3,0,254.26,64.24,-158.15,154.38,70.42,-27.47,157.22,32.98,244.6,-4.03,1,,,2008-10-06 03:46:00
6298,50.2019,12.4539,-9.789,318304.5177301032,5564181.898406859,-9789.0,2008,10,6,3,50,0,0.67,0,248.62,69.86,-155.11,149.54,66.72,-22.01,160.19,31.53,71.45,-2.06,1,,,2008-10-06 03:50:00
20080014,50.2019,12.4539,-9.789,318304.5177301032,5564181.898406859,-9789.0,2008,10,6,3,50,0,0.67,0,248.62,69.86,-155.11,149.54,66.72,-22.01,160.19,31.53,71.45,-2.06,1,,,2008-10-06 03:50:00
6302,50.2019,12.4545,-9.751,318347.33001963154,5564180.435924863,-9751.0,2008,10,6,3,51,0,0.61,0,255.41,77.46,-156.52,160.03,67.11,-13.63,150.46,25.37,63.79,-6.98,1,,,2008-10-06 03:51:00
20080016,50.2029,12.4525,-9.885,318208.42252790555,5564296.480893562,-9885.0,2008,10,6,3,52,0,0.53,0,251.19,67.7,-164.7,155.26,75.87,-23.03,158.27,26.16,65.56,5.49,1,,,2008-10-06 03:52:00
20080017,50.2019,12.4544,-9.686,318340.1946377937,5564180.679647904,-9686.0,2008,10,6,3,55,0,0.57,0,157.97,69.9,-20.39,255.25,70.9,-158.67,153.19,28.32,63.55,-0.67,1,,,2008-10-06 03:55:00
6308,50.2017,12.455,-9.664,318382.2476583709,5564156.9837100925,-9664.0,2008,10,6,3,58,0,0.61,0,252.18,69.45,-156.97,153.69,68.51,-22.17,156.85,30.48,67.22,-0.62,1,,,2008-10-06 03:58:00
6309,50.2034,12.4527,-9.903,318224.5929238787,5564351.577446851,-9903.0,2008,10,6,3,59,0,2.0,0,260.49,60.8,-156.33,158.42,69.48,-31.39,153.04,36.35,58.92,5.58,1,,,2008-10-06 03:59:00
6312,50.202,12.4538,-9.872,318297.76216485107,5564193.259057429,-9872.0,2008,10,6,3,59,0,0.96,0,245.67,61.47,-160.68,146.16,73.1,-29.95,166.97,32.91,72.02,7.6,1,,,2008-10-06 03:59:00
6323,50.2017,12.455,-9.693,318382.2476583709,5564156.9837100925,-9693.0,2008,10,6,4,1,0,0.53,0,261.6,62.15,-160.94,162.43,73.22,-29.2,150.66,32.31,56.04,7.25,1,,,2008-10-06 04:01:00
6324,50.203,12.4536,-9.717,318287.2899216948,5564304.915352624,-9717.0,2008,10,6,4,1,0,2.0,0,254.44,61.96,-152.64,150.76,66.07,-30.95,158.67,38.26,246.61,-2.61,1,,,2008-10-06 04:01:00
20080023,50.2035,12.4533,-9.719,318267.7837613814,5564361.231160411,-9719.0,2008,10,6,4,1,0,1.8,0,154.09,73.82,-28.15,252.57,63.06,-161.78,159.14,31.16,244.83,-7.09,1,,,2008-10-06 04:01:00
6325,50.2017,12.4545,-9.697,318346.57059837034,5564158.202183092,-9697.0,2008,10,6,4,1,0,1.1,0,162.89,68.96,-35.64,267.33,57.05,-154.67,328.81,-39.67,232.53,-7.51,1,,,2008-10-06 04:01:00
6321,50.2019,12.4548,-9.708,318368.7361657444,5564179.704813246,-9708.0,2008,10,6,4,1,0,0.93,0,157.47,62.19,-24.53,259.49,68.45,-149.9,149.74,36.13,62.69,-4.03,1,,,2008-10-06 04:01:00
6332,50.2017,12.4549,-9.657,318375.1122461711,5564157.227385525,-9657.0,2008,10,6,4,4,0,0.91,0,257.3,66.65,-154.43,156.56,66.65,-25.57,153.07,34.09,243.07,-0.0,1,,,2008-10-06 04:04:00
20080027,50.2043,12.453,-9.7,318249.4179069814,5564450.897670195,-9700.0,2008,10,6,4,5,0,1.8,0,153.28,77.04,-26.27,249.6,64.45,-165.6,161.03,27.62,66.59,8.42,1,,,2008-10-06 04:05:00
6334,50.2015,12.4549,-9.712,318374.3529465897,5564134.993643126,-9712.0,2008,10,6,4,6,0,0.66,0,154.81,71.98,-29.41,254.7,62.16,-159.53,157.72,33.29,63.49,6.4,1,,,2008-10-06 04:06:00
6338,50.2034,12.4526,-9.779,318217.4577678129,5564351.821340061,-9779.0,2008,10,6,4,9,0,0.52,0,262.82,63.69,-150.81,158.92,64.08,-29.53,149.25,38.5,239.06,-0.24,1,,,2008-10-06 04:09:00
6339,50.2035,12.4527,-9.751,318224.9729124769,5564362.694317484,-9751.0,2008,10,6,4,9,0,0.76,0,258.86,61.2,-146.18,150.97,60.81,-33.5,154.93,43.28,245.16,0.24,1,,,2008-10-06 04:09:00
20080031,50.2028,12.4525,-9.912,318208.0425127908,5564285.364024167,-9912.0,2008,10,6,4,10,0,0.67,0,154.55,76.07,-24.28,250.75,66.48,-164.78,159.17,26.9,245.89,-6.43,1,,,2008-10-06 04:10:00
6341,50.2033,12.4543,-9.722,318338.3756853944,5564336.559585886,-9722.0,2008,10,6,4,11,0,1.2,0,249.04,65.43,-157.78,149.4,69.89,-26.28,161.86,32.49,70.01,2.91,1,,,2008-10-06 04:11:00
6344,50.2011,12.4548,-9.793,318365.69885242754,5564090.769846136,-9793.0,2008,10,6,4,12,0,2.0,0,157.6,72.0,-18.22,253.41,72.71,-161.11,154.37,25.39,244.6,0.47,1,,,2008-10-06 04:12:00
20080034,50.2035,12.4527,-9.766,318224.9729124769,5564362.694317484,-9766.0,2008,10,6,4,12,0,1.5,0,255.14,61.34,-156.05,153.11,69.13,-30.89,158.1,36.23,64.42,5.01,1,,,2008-10-06 04:12:00
20080035,50.2011,12.4548,-9.717,318365.69885242754,5564090.769846136,-9717.0,2008,10,6,4,12,0,0.96,0,147.65,64.11,-21.63,247.47,70.63,-152.43,160.82,32.9,253.58,4.26,1,,,2008-10-06 04:12:00
6347,50.2031,12.4537,-9.72,318294.8049755378,5564315.788426199,-9720.0,2008,10,6,4,14,0,1.3,0,255.79,63.24,-151.96,152.31,65.18,-29.74,156.55,37.97,65.58,1.24,1,,,2008-10-06 04:14:00
