ID,LAT,LON,DEPTH,X,Y,Z,EX,EY,EZ,YR,MO,DY,HR,MI,SC,MAG,NCCP,NCCS,NCTP,NCTS,RCC,RCT,CID
1,50.3207,12.5595,-8.0,326272.3847745276,5577136.958688375,-8000.0,0,0,0,1991,12,6,12,0,20.02,1.0,0,0,0,0,0,0,0
2,50.3065,12.1961,-10.13,300347.72508790286,5576470.087595641,-10130.0,0,0,0,1991,3,24,5,5,6.62,2.7,0,0,0,0,0,0,0
3,50.34864,12.41506,-6.024,316099.5817755414,5580590.274725788,-6024.0,0,0,0,1991,5,19,3,22,11.933,2.7,0,0,0,0,0,0,0
4,50.35298,12.41129,-6.061,315848.2024463458,5581082.082507382,-6061.0,0,0,0,1991,5,19,3,49,6.298,0.4,0,0,0,0,0,0,0
5,50.3205,12.4332,-9.94,317282.0003558254,5577417.243155192,-9940.0,0,0,0,1991,5,25,15,42,18.29,1.7,0,0,0,0,0,0,0
6,50.21846,12.44788,-9.956,317938.01948111993,5566037.545326171,-9956.0,0,0,0,1991,5,26,13,38,22.957,1.0,0,0,0,0,0,0,0
7,50.21744,12.44889,-9.624,318006.179287104,5565921.685865844,-9624.0,0,0,0,1991,5,26,13,44,26.914,0.8,0,0,0,0,0,0,0
8,50.21902,12.44804,-9.736,317951.56443607825,5566099.408982609,-9736.0,0,0,0,1991,5,26,13,46,58.521,1.0,0,0,0,0,0,0,0
9,50.21819,12.44812,-9.825,317954.11040690896,5566006.943375973,-9825.0,0,0,0,1991,5,27,2,12,25.214,0.8,0,0,0,0,0,0,0
10,50.22165,12.4636,-8.98,319071.38562247064,5566353.885088493,-8980.0,0,0,0,1991,5,27,3,10,13.651,0.8,0,0,0,0,0,0,0
11,50.21737,12.4478,-9.841,317928.16242753936,5565916.566740615,-9841.0,0,0,0,1991,5,27,3,17,49.202,1.0,0,0,0,0,0,0,0
12,50.21936,12.44771,-9.904,317929.32092804136,5566138.012676109,-9904.0,0,0,0,1991,5,27,4,9,14.268,0.4,0,0,0,0,0,0,0
13,49.99248,12.2029,-9.439,299522.50418312417,5541544.199362233,-9439.0,0,0,0,1991,6,3,23,4,40.562,1.3,0,0,0,0,0,0,0
14,50.04074,12.64936,-8.698,331687.13155171403,5545807.509018614,-8698.0,0,0,0,1991,6,10,5,43,3.269,0.5,0,0,0,0,0,0,0
15,50.04404,12.65051,-10.233,331781.0045763896,5546171.7769917315,-10233.0,0,0,0,1991,6,10,6,0,13.193,0.5,0,0,0,0,0,0,0
16,50.24127,12.44322,-8.666,317692.6583471397,5568584.70547176,-8666.0,0,0,0,1991,6,12,18,26,52.97,0.4,0,0,0,0,0,0,0
17,49.8921,12.2774,-11.58,304455.31979994907,5530188.625057147,-11580.0,0,0,0,1991,6,13,1,47,23.71,0.5,0,0,0,0,0,0,0
18,50.24042,12.45499,-6.89,318528.57129310525,5568461.472309821,-6890.0,0,0,0,1991,6,25,4,38,39.02,1.8,0,0,0,0,0,0,0
19,50.23537,12.46063,-6.865,318911.54324306326,5567886.342598624,-6865.0,0,0,0,1991,6,25,4,38,43.359,1.0,0,0,0,0,0,0,0
20,50.24138,12.45533,-6.865,318556.4581560268,5568567.366640631,-6865.0,0,0,0,1991,6,25,4,42,12.46,1.3,0,0,0,0,0,0,0
21,50.24073,12.45503,-6.854,318532.6006720263,5568495.837354283,-6854.0,0,0,0,1991,6,25,4,43,10.769,1.5,0,0,0,0,0,0,0
22,50.23401,12.46086,-7.062,318922.78950287425,5567734.593272243,-7062.0,0,0,0,1991,6,25,4,43,23.461,0.8,0,0,0,0,0,0,0
23,50.24066,12.45516,-6.831,318541.6032498024,5568487.738821085,-6831.0,0,0,0,1991,6,25,4,43,33.298,0.6,0,0,0,0,0,0,0
24,50.23352,12.46012,-6.924,318868.1657786084,5567681.919216624,-6924.0,0,0,0,1991,6,25,4,43,50.798,1.8,0,0,0,0,0,0,0
25,50.23413,12.46045,-7.052,318894.0088756468,5567748.930209659,-7052.0,0,0,0,1991,6,25,4,45,3.844,0.8,0,0,0,0,0,0,0
26,50.24026,12.4547,-6.925,318507.28753605904,5568444.391733146,-6925.0,0,0,0,1991,6,25,4,45,2.405,0.7,0,0,0,0,0,0,0
27,50.23885,12.45487,-6.895,318514.05183937354,5568287.228849755,-6895.0,0,0,0,1991,6,25,4,46,21.377,0.4,0,0,0,0,0,0,0
28,50.24038,12.45529,-6.95,318549.80825809785,5568456.294746821,-6950.0,0,0,0,1991,6,25,4,46,23.68,1.0,0,0,0,0,0,0,0
29,50.23379,12.46098,-6.645,318930.51258687774,5567709.844361248,-6645.0,0,0,0,1991,6,25,4,48,12.232,0.8,0,0,0,0,0,0,0
30,50.24052,12.45499,-6.899,318528.9511459905,5568472.589241257,-6899.0,0,0,0,1991,6,25,5,5,13.977,1.9,0,0,0,0,0,0,0
31,50.24034,12.45486,-6.794,318518.99887778086,5568452.895467516,-6794.0,0,0,0,1991,6,25,5,35,12.072,0.9,0,0,0,0,0,0,0
32,50.23403,12.4605,-6.909,318897.19516863395,5567737.69173177,-6909.0,0,0,0,1991,6,25,5,53,34.237,0.9,0,0,0,0,0,0,0
33,50.4771,12.1526,-10.0,297977.4823489702,5595552.708826302,-10000.0,0,0,0,1991,6,25,20,7,49.56,1.5,0,0,0,0,0,0,0
34,50.4704,12.117,-4.16,295423.1384286496,5594905.386736301,-4160.0,0,0,0,1991,6,30,4,23,40.51,1.0,0,0,0,0,0,0,0
