ID,LAT,LON,DEPTH,X,Y,Z,EX,EY,EZ,YR,MO,DY,HR,MI,SC,MAG,NCCP,NCCS,NCTP,NCTS,RCC,RCT,CID
1,50.3207,12.5595,-8,326272.384774528,5577136.95868837,-8000,0,0,0,1991,12,6,12,0,20.02,1,0,0,0,0,0,0,0
2,50.3065,12.1961,-10.13,300347.725087903,5576470.08759564,-10130,0,0,0,1991,3,24,5,5,6.62,2.7,0,0,0,0,0,0,0
3,50.34864,12.41506,-6.024,316099.581775541,5580590.27472579,-6024,0,0,0,1991,5,19,3,22,11.933,2.7,0,0,0,0,0,0,0
4,50.35298,12.41129,-6.061,315848.202446346,5581082.08250738,-6061,0,0,0,1991,5,19,3,49,6.298,0.4,0,0,0,0,0,0,0
5,50.3205,12.4332,-9.94,317282.000355825,5577417.24315519,-9940,0,0,0,1991,5,25,15,42,18.29,1.7,0,0,0,0,0,0,0
6,50.21846,12.44788,-9.956,317938.01948112,5566037.54532617,-9956,0,0,0,1991,5,26,13,38,22.957,1,0,0,0,0,0,0,0
7,50.21744,12.44889,-9.624,318006.179287104,5565921.68586584,-9624,0,0,0,1991,5,26,13,44,26.914,0.8,0,0,0,0,0,0,0
8,50.21902,12.44804,-9.736,317951.564436078,5566099.40898261,-9736,0,0,0,1991,5,26,13,46,58.521,1,0,0,0,0,0,0,0
9,50.21819,12.44812,-9.825,317954.110406909,5566006.94337597,-9825,0,0,0,1991,5,27,2,12,25.214,0.8,0,0,0,0,0,0,0
10,50.22165,12.4636,-8.98,319071.385622471,5566353.88508849,-8980,0,0,0,1991,5,27,3,10,13.651,0.8,0,0,0,0,0,0,0
11,50.21737,12.4478,-9.841,317928.162427539,5565916.56674062,-9841,0,0,0,1991,5,27,3,17,49.202,1,0,0,0,0,0,0,0
12,50.21936,12.44771,-9.904,317929.320928041,5566138.01267611,-9904,0,0,0,1991,5,27,4,9,14.268,0.4,0,0,0,0,0,0,0
13,49.99248,12.2029,-9.439,299522.504183124,5541544.19936223,-9439,0,0,0,1991,6,3,23,4,40.562,1.3,0,0,0,0,0,0,0
14,50.04074,12.64936,-8.698,331687.131551714,5545807.50901861,-8698,0,0,0,1991,6,10,5,43,3.269,0.5,0,0,0,0,0,0,0
15,50.04404,12.65051,-10.233,331781.00457639,5546171.77699173,-10233,0,0,0,1991,6,10,6,0,13.193,0.5,0,0,0,0,0,0,0
16,50.24127,12.44322,-8.666,317692.65834714,5568584.70547176,-8666,0,0,0,1991,6,12,18,26,52.97,0.4,0,0,0,0,0,0,0
17,49.8921,12.2774,-11.58,304455.319799949,5530188.62505715,-11580,0,0,0,1991,6,13,1,47,23.71,0.5,0,0,0,0,0,0,0
18,50.24042,12.45499,-6.89,318528.571293105,5568461.47230982,-6890,0,0,0,1991,6,25,4,38,39.02,1.8,0,0,0,0,0,0,0
19,50.23537,12.46063,-6.865,318911.543243063,5567886.34259862,-6865,0,0,0,1991,6,25,4,38,43.359,1,0,0,0,0,0,0,0
20,50.24138,12.45533,-6.865,318556.458156027,5568567.36664063,-6865,0,0,0,1991,6,25,4,42,12.46,1.3,0,0,0,0,0,0,0
21,50.24073,12.45503,-6.854,318532.600672026,5568495.83735428,-6854,0,0,0,1991,6,25,4,43,10.769,1.5,0,0,0,0,0,0,0
22,50.23401,12.46086,-7.062,318922.789502874,5567734.59327224,-7062,0,0,0,1991,6,25,4,43,23.461,0.8,0,0,0,0,0,0,0
23,50.24066,12.45516,-6.831,318541.603249802,5568487.73882108,-6831,0,0,0,1991,6,25,4,43,33.298,0.6,0,0,0,0,0,0,0
24,50.23352,12.46012,-6.924,318868.165778608,5567681.91921662,-6924,0,0,0,1991,6,25,4,43,50.798,1.8,0,0,0,0,0,0,0
25,50.23413,12.46045,-7.052,318894.008875647,5567748.93020966,-7052,0,0,0,1991,6,25,4,45,3.844,0.8,0,0,0,0,0,0,0
26,50.24026,12.4547,-6.925,318507.287536059,5568444.39173315,-6925,0,0,0,1991,6,25,4,45,2.405,0.7,0,0,0,0,0,0,0
27,50.23885,12.45487,-6.895,318514.051839374,5568287.22884976,-6895,0,0,0,1991,6,25,4,46,21.377,0.4,0,0,0,0,0,0,0
28,50.24038,12.45529,-6.95,318549.808258098,5568456.29474682,-6950,0,0,0,1991,6,25,4,46,23.68,1,0,0,0,0,0,0,0
29,50.23379,12.46098,-6.645,318930.512586878,5567709.84436125,-6645,0,0,0,1991,6,25,4,48,12.232,0.8,0,0,0,0,0,0,0
30,50.24052,12.45499,-6.899,318528.951145991,5568472.58924126,-6899,0,0,0,1991,6,25,5,5,13.977,1.9,0,0,0,0,0,0,0
31,50.24034,12.45486,-6.794,318518.998877781,5568452.89546752,-6794,0,0,0,1991,6,25,5,35,12.072,0.9,0,0,0,0,0,0,0
32,50.23403,12.4605,-6.909,318897.195168634,5567737.69173177,-6909,0,0,0,1991,6,25,5,53,34.237,0.9,0,0,0,0,0,0,0
33,50.4771,12.1526,-10,297977.48234897,5595552.7088263,-10000,0,0,0,1991,6,25,20,7,49.56,1.5,0,0,0,0,0,0,0
34,50.4704,12.117,-4.16,295423.13842865,5594905.3867363,-4160,0,0,0,1991,6,30,4,23,40.51,1,0,0,0,0,0,0,0
35,50.6285,12.7113,-10,338132.154086067,5611013.82630181,-10000,0,0,0,1991,7,2,1,4,20.79,0.8,0,0,0,0,0,0,0
36,50.1654,12.4856,-9.23,320429.575603622,5560047.43789238,-9230,0,0,0,1991,7,18,7,39,2.73,0.3,0,0,0,0,0,0,0
37,50.23497,12.45388,-7.586,318428.722237637,5567858.30454899,-7586,0,0,0,1991,7,23,14,57,59.052,0.3,0,0,0,0,0,0,0
38,50.2345,12.45321,-7.557,318379.161868453,5567807.68820546,-7557,0,0,0,1991,7,23,14,58,32.771,0.6,0,0,0,0,0,0,0
39,50.2432,12.3482,-6.91,310925.902074912,5569036.13417731,-6910,0,0,0,1991,7,23,16,41,35.61,1,0,0,0,0,0,0,0
40,50.3442,12.42672,-6.449,316911.926341868,5580067.91194526,-6449,0,0,0,1991,7,24,10,58,15.97,1,0,0,0,0,0,0,0
41,50.4158,12.2385,-8.76,303817.723072838,5588507.80159146,-8760,0,0,0,1991,7,28,5,39,56.21,0.2,0,0,0,0,0,0,0
42,50.22112,12.45896,-8.14,318738.430924385,5566306.24242767,-8140,0,0,0,1991,8,2,13,2,36.409,1.3,0,0,0,0,0,0,0
43,50.21881,12.45904,-8.454,318735.378946507,5566049.24729219,-8454,0,0,0,1991,8,2,15,45,9.449,1,0,0,0,0,0,0,0
44,50.22105,12.45906,-8.328,318745.298044648,5566298.21733609,-8328,0,0,0,1991,8,2,15,46,45.963,1.1,0,0,0,0,0,0,0
45,50.22193,12.45921,-8.3,318759.33306347,5566395.68126609,-8300,0,0,0,1991,8,2,17,35,26.07,1.3,0,0,0,0,0,0,0
46,50.22383,12.45966,-8.316,318798.630934689,5566605.80812161,-8316,0,0,0,1991,8,3,0,33,55.258,1,0,0,0,0,0,0,0
47,50.22036,12.45908,-8.274,318744.108539578,5566221.4620259,-8274,0,0,0,1991,8,3,7,33,39.375,0.8,0,0,0,0,0,0,0
48,50.22142,12.45983,-8.292,318801.62088783,5566337.47714838,-8292,0,0,0,1991,8,3,8,37,26.546,0.9,0,0,0,0,0,0,0
49,50.22121,12.46022,-8.307,318828.641703548,5566313.18331973,-8307,0,0,0,1991,8,3,8,41,19.364,1.2,0,0,0,0,0,0,0
50,50.22343,12.46045,-8.14,318853.458848928,5566559.4195671,-8140,0,0,0,1991,8,3,11,20,29.193,0.1,0,0,0,0,0,0,0
51,50.22231,12.45975,-8.278,318799.288351202,5566436.61219299,-8278,0,0,0,1991,8,3,22,58,13.465,0.9,0,0,0,0,0,0,0
52,50.22055,12.45961,-8.305,318782.63167643,5566241.29505699,-8305,0,0,0,1991,8,3,22,59,6.549,0.8,0,0,0,0,0,0,0
53,50.22056,12.46163,-7.581,318926.748130749,5566237.49607312,-7581,0,0,0,1991,8,4,2,35,12.949,0.6,0,0,0,0,0,0,0
54,50.22151,12.45972,-8.331,318794.116304987,5566347.74986744,-8331,0,0,0,1991,8,4,2,35,22.802,1.1,0,0,0,0,0,0,0
55,50.04044,12.65409,-9.154,332024.733429924,5545763.5135902,-9154,0,0,0,1991,8,27,1,12,21.107,1,0,0,0,0,0,0,0
56,49.98876,12.11679,-8.719,293335.64923327,5541365.1778128,-8719,0,0,0,1991,8,30,2,33,22.396,2,0,0,0,0,0,0,0
57,49.9864,12.12691,-10.197,294050.847073566,5541074.91132721,-10197,0,0,0,1991,8,31,13,43,27.807,2.1,0,0,0,0,0,0,0
58,50.04179,12.65467,-8.785,332070.97087607,5545912.28811106,-8785,0,0,0,1991,9,2,5,21,20.769,1.2,0,0,0,0,0,0,0
59,50.0157,12.1194,-10,293638.139487289,5544352.62320326,-10000,0,0,0,1991,9,2,8,8,56.97,2.6,0,0,0,0,0,0,0
60,49.98885,12.1286,-10.253,294182.434595938,5541342.59942837,-10253,0,0,0,1991,9,5,12,28,52.877,2.1,0,0,0,0,0,0,0
61,50.22275,12.46004,-8.022,318821.639729629,5566484.82141254,-8022,0,0,0,1991,9,6,4,54,21.995,0.4,0,0,0,0,0,0,0
62,50.21952,12.45914,-8.161,318745.203520147,5566127.93406544,-8161,0,0,0,1991,9,6,5,10,37.693,0.2,0,0,0,0,0,0,0
63,50.22007,12.46013,-8.443,318817.902137749,5566186.66938935,-8443,0,0,0,1991,9,6,5,44,22.018,0.5,0,0,0,0,0,0,0
64,50.22069,12.4595,-8.401,318775.316510612,5566257.12625314,-8401,0,0,0,1991,9,6,5,54,23.726,0.7,0,0,0,0,0,0,0
65,50.21925,12.45868,-8.42,318711.369049154,5566099.0374567,-8420,0,0,0,1991,9,6,6,3,35.564,1.5,0,0,0,0,0,0,0
66,50.21996,12.46039,-8.149,318836.030265138,5566173.80863158,-8149,0,0,0,1991,9,6,6,9,0.001,0.9,0,0,0,0,0,0,0
67,50.22016,12.45994,-8.249,318804.69115727,5566197.13660937,-8249,0,0,0,1991,9,6,6,16,28.224,1.2,0,0,0,0,0,0,0
68,50.0381,12.0963,-10,292080.324250869,5546906.66196824,-10000,0,0,0,1991,9,6,23,17,52.89,2.1,0,0,0,0,0,0,0
69,49.9867,12.1498,-15.03,295692.687305598,5541045.45111924,-15030,0,0,0,1991,9,11,19,10,45.69,1.6,0,0,0,0,0,0,0
70,49.9927,12.1343,-12.42,294607.351745892,5541754.88889658,-12420,0,0,0,1991,9,14,23,48,16.01,1.8,0,0,0,0,0,0,0
71,50.34818,12.41624,-6.147,316181.743233133,5580536.21932484,-6147,0,0,0,1991,9,15,7,53,8.008,0.9,0,0,0,0,0,0,0
72,50.27945,12.20883,-13.359,301141.249113124,5573428.9686533,-13359,0,0,0,1991,9,23,19,21,48.515,1.7,0,0,0,0,0,0,0
73,50.27707,12.20994,-13.219,301210.402936763,5573161.42937025,-13219,0,0,0,1991,9,26,2,37,10.255,1,0,0,0,0,0,0,0
74,50.27968,12.20743,-13.268,301042.478918009,5573458.27758503,-13268,0,0,0,1991,9,27,1,53,41.601,1.9,0,0,0,0,0,0,0
75,50.27922,12.20843,-13.265,301111.796031835,5573404.46911874,-13265,0,0,0,1991,9,30,8,11,30.173,1.2,0,0,0,0,0,0,0
76,50.27828,12.20892,-13.5,301142.783094558,5573298.66421368,-13500,0,0,0,1991,10,2,16,24,43.495,1.7,0,0,0,0,0,0,0
77,50.27964,12.21412,-13.478,301518.874840165,5573435.97227884,-13478,0,0,0,1991,10,2,16,40,40.862,1,0,0,0,0,0,0,0
78,50.28318,12.20736,-13.355,301052.091096104,5573847.54512537,-13355,0,0,0,1991,10,3,16,29,52.562,1.1,0,0,0,0,0,0,0
79,50.28031,12.20204,-13.066,300661.155174067,5573542.73156296,-13066,0,0,0,1991,10,3,17,28,50.876,0.6,0,0,0,0,0,0,0
