ID,LAT,LON,DEPTH,X,Y,Z,YR,MO,DY,HR,MI,SC,MAG,A,Strike1,Dip1,Rake1,Strike2,Dip2,Rake2,Pazim,Pdip,Tazim,Tdip,Q,Type
KP197603020828,47.568,9.435,13.0,750214,270499,-13000.0,1976,3,2,8,27,57.3,3.5,0,31,90,0,301,90,180,346,0,76,0,2,SS
KP197703051331,46.409,7.392,14.0,596413,139739,-14000.0,1977,3,5,13,31,22.5,4.1,0,351,73,0,260,90,163,307,12,214,12,2,SS
KP197707270750,46.33,7.427,7.0,599103,130956,-7000.0,1977,7,27,7,50,17.5,3.2,0,351,73,0,260,90,163,307,12,214,12,2,SS
KP197711211927,47.282,8.547,27.0,683853,237381,-27000.0,1977,11,21,19,27,40.4,3.4,0,33,80,-5,124,85,-170,349,11,258,4,1,SS
KP197808130402,47.27,7.722,23.0,621444,235494,-23000.0,1978,8,13,4,2,26.0,3.2,0,121,66,-168,26,79,-24,341,25,75,8,1,SS
KP197808281444,47.343,8.91,25.0,711186,244613,-25000.0,1978,8,28,14,44,39.9,3.1,0,9,40,-46,137,62,-120,1,60,249,12,1,ON
KP197907032113,46.93,7.038,28.0,569490,197735,-28000.0,1979,7,3,21,13,10.9,3.8,0,285,86,179,15,89,4,150,2,240,4,1,SS
KP197911300044,47.278,8.517,31.0,681590,236905,-31000.0,1979,11,30,0,44,52.8,3.0,0,296,84,-176,206,86,-6,161,7,251,1,1,SS
KP198007151217_1,47.628,7.518,15.0,605967,275263,-15000.0,1980,7,15,12,17,22.0,4.4,0,125,80,174,216,84,10,350,3,81,11,1,SS
KP198007151254,47.647,7.478,11.0,602959,277373,-11000.0,1980,7,15,12,54,46.0,3.7,0,117,46,-132,349,58,-55,314,60,55,6,1,ON
KP198007161500,47.653,7.503,17.0,604837,278041,-17000.0,1980,7,16,15,0,48.5,4.0,0,201,42,64,54,53,111,129,6,21,72,1,TF
KP198203251845,47.487,7.572,3.0,610052,259591,-3000.0,1982,3,25,18,45,19.1,2.5,0,110,79,-172,18,82,-11,334,13,64,2,1,SS
KP198209031912,47.453,7.865,10.0,632155,255889,-10000.0,1982,9,3,19,12,14.3,2.4,0,97,70,-175,5,85,-20,319,18,53,10,1,SS
KP198210040406,47.674,7.852,23.0,631045,280456,-23000.0,1982,10,4,4,6,31.0,2.9,0,36,74,-6,128,84,-164,353,15,261,7,1,SS
KP198211081302,46.1,6.3,10.0,511949,106029,-10000.0,1982,11,8,13,2,31.9,3.3,0,97,62,-167,1,79,-29,316,28,52,12,1,SS
KP198309042151,47.705,8.811,8.0,703002,284722,-8000.0,1983,9,4,21,51,3.7,2.9,1,159,74,175,250,85,16,24,8,116,15,1,SS
KP198401111411,47.328266,8.809402,8.4,703613,242838,-8400.0,1984,1,11,14,11,57.6,3.2,0,36,76,5,304,85,166,351,6,259,13,1,SS
KP198404101650,47.423037,7.567345,20.193,609713,252478,-20193.0,1984,4,10,16,50,53.4,2.6,0,300,62,-176,208,87,-28,160,22,257,17,1,SS
KP198404120050,47.424411,7.750852,19.643,623559,252670,-19643.0,1984,4,12,0,50,40.7,2.5,0,162,42,-30,275,71,-128,143,49,32,17,1,SS
KP198406160641,47.740014,7.789876,10.472,626347,287774,-10472.0,1984,6,16,6,43,0.5,2.6,0,295,41,-118,150,55,-68,113,70,225,8,1,NF
KP198409050516,47.240288,8.551855,10.968,684286,232749,-10968.0,1984,9,5,5,16,49.4,4.0,0,8,44,-26,117,72,-131,345,46,236,17,1,SS
KP198409142230,47.240838,8.557918,21.4,684744,232817,-21400.0,1984,9,14,22,30,29.6,2.9,0,315,67,-158,216,70,-25,175,31,266,2,1,SS
KP198501041657,46.013059,7.250581,9.974,585433,95741,-9974.0,1985,1,4,16,57,37.5,3.5,1,329,82,-40,65,50,-170,279,33,23,21,1,ON
KP198501070952,47.1459,8.312487,27.765,666281,222027,-27765.0,1985,1,7,9,52,31.6,2.1,0,336,46,-125,201,54,-59,170,65,270,4,1,ON
KP198502282132,47.661933,7.380971,16.551,595670,279034,-16551.0,1985,2,28,21,33,1.1,3.4,0,292,49,-169,195,82,-41,145,34,250,21,1,SS
KP198507070008,47.002461,7.772699,39.492,625407,205766,-39492.0,1985,7,7,0,8,57.4,2.5,0,124,80,169,216,79,10,170,1,80,15,1,SS
KP198509151818,47.935959,7.722093,3.702,621184,309543,-3702.0,1985,9,15,18,18,36.9,2.5,0,180,44,-33,295,68,-129,160,51,52,14,1,ON
KP198509292335,46.928173,8.313597,-0.64,666635,197824,640.0,1985,9,29,23,36,2.8,2.5,0,39,26,122,184,68,75,285,22,70,64,1,OT
KP198512211719,46.873299,8.318929,1.89,667109,191729,-1890.0,1985,12,21,17,19,22.1,2.9,0,320,46,-63,104,50,-115,307,71,211,2,1,NF
KP198601190654,46.202602,7.632856,1.263,614991,116812,-1263.0,1986,1,19,6,54,36.2,2.9,0,110,40,-80,277,51,-98,143,82,13,5,1,NF
KP198601200348,47.908658,7.768304,22.322,624650,306520,-22322.0,1986,1,20,3,48,20.8,1.9,0,200,40,-48,330,61,-119,193,62,81,12,1,ON
KP198601281149,46.437805,7.868667,7.836,633049,143031,-7836.0,1986,1,28,11,49,48.3,3.5,0,162,50,-33,275,65,-135,136,49,35,9,2,ON
KP198602150142,46.086106,7.632929,0.34,615028,103862,-340.0,1986,2,15,1,43,6.6,3.8,0,27,70,170,120,80,20,252,7,345,21,1,SS
KP198602261306,46.05774,7.335618,4.819,592026,100696,-4819.0,1986,2,26,13,7,17.3,1.9,0,249,51,-133,125,55,-50,94,58,188,2,1,ON
KP198602271206,47.670592,8.965842,17.316,714696,281111,-17316.0,1986,2,27,12,7,6.7,4.1,0,304,38,-138,179,65,-60,131,58,247,15,1,ON
KP198610072223,47.852219,7.95166,18.526,638400,300317,-18526.0,1986,10,7,22,23,37.2,2.3,0,297,42,-114,148,52,-70,116,74,224,5,1,NF
KP198610080311,47.257973,8.543488,24.261,683625,234706,-24261.0,1986,10,8,3,12,7.7,2.0,0,315,66,-160,217,72,-25,174,30,267,4,1,SS
KP198610091008,46.338976,7.459564,6.973,601611,131954,-6973.0,1986,10,9,10,8,53.6,3.1,0,79,61,167,175,79,30,304,12,41,28,1,SS
KP198611010401,47.568937,7.776056,14.587,625392,268747,-14587.0,1986,11,1,4,1,9.1,1.2,0,296,81,-174,205,84,-9,160,11,251,2,1,SS
KP198701081923,47.246156,7.596649,6.05,611963,232816,-6050.0,1987,1,8,19,24,20.5,2.6,1,298,62,-174,205,85,-28,158,23,255,16,1,SS
KP198701290006,47.426704,9.288624,5.393,739573,254523,-5393.0,1987,1,29,0,7,0.5,3.2,0,10,45,-54,144,55,-121,357,65,255,6,1,ON
KP198703220136,46.222884,7.920284,6.994,637162,119162,-6994.0,1987,3,22,1,36,46.8,2.1,0,311,51,-47,75,55,-130,286,58,192,2,1,ON
KP198704110314,47.421946,7.872952,7.463,632774,252439,-7463.0,1987,4,11,3,14,39.8,3.3,1,190,76,-11,282,79,-166,146,18,56,2,1,SS
KP198704292041,46.49553,9.82714,2.323,783341,152148,-2323.0,1987,4,29,20,41,47.2,2.7,0,353,67,-12,88,79,-156,312,24,219,8,1,SS
KP198705052028,47.218891,8.564281,24.927,685261,230384,-24927.0,1987,5,5,20,29,3.3,2.3,0,304,75,-170,211,80,-15,167,18,258,4,1,SS
KP198705301945,45.92463,7.919366,3.924,637294,86007,-3924.0,1987,5,30,19,45,19.2,1.9,0,135,50,-10,231,82,-140,101,33,357,21,1,SS
KP198707180858,47.668012,7.46334,18.502,601857,279709,-18502.0,1987,7,18,8,59,7.7,2.8,0,299,80,177,30,87,10,164,5,255,9,1,SS
KP198707261056,46.904125,9.125262,1.879,728499,196160,-1879.0,1987,7,26,10,56,50.3,2.4,1,90,72,144,193,56,22,145,10,47,38,1,OT
