ID,LAT,LON,DEPTH,X,Y,Z,YR,MO,DY,HR,MI,SC,MAG,A,Strike1,Dip1,Rake1,Strike2,Dip2,Rake2,Pazim,Pdip,Tazim,Tdip,Q,Type ,Loc,,,,,,,,,,,,,CAT-ID,ALQ,FMQ,FMT,ScR,ME,Mw,M0,,EvID_DD,,,FMCAT-OT,FMCAT-LOC,FMCAT-MAG,MiDis,Depi,Ddep,Dmag,Region,Ref,,,,,,,,,,,,,,,,,
KP197603020828,47.568,9.435,13,750214,270499,-13000,1976,3,2,8,27,57.3,3.5,0,31,90,0,301,90,180,346,0,76,0,,,,,,,,,,,,,,,,BULLETIN,B,2,SS,0,FM,3.25,84140000000000,,197600013,,,1976,3,2,8,27,0,47.6,9.4,10,3.7,27,4.4,3,-0.2,Bodensee,1,3,,,,,,,,,
KP197703051331,46.409,7.392,14,596413,139739,-14000,1977,3,5,13,31,22.5,4.1,0,351,73,0,260,90,163,307,12,214,12,,,,,,,,,,,,,,,,BULLETIN,D,2,SS,0.094,FM,3.8,562340000000000,,197700029,,,1977,3,5,13,31,0,46.42,7.39,9,4.1,10,1.2,5,0,Iffigenalp,2,,,,,,,,,,
KP197707270750,46.33,7.427,7,599103,130956,-7000,1977,7,27,7,50,17.5,3.2,0,351,73,0,260,90,163,307,12,214,12,,,,,,,,,,,,,,,,BULLETIN,B,2,SS,0.094,FM,3.01,36728000000000,,197700080,,,1977,7,27,7,50,0,46.32,7.42,7,3.2,5,1.2,0,0,Zeuzier,2,,,,,,,,,,
KP197711211927,47.282,8.547,27,683853,237381,-27000,1977,11,21,19,27,40.4,3.4,0,33,80,-5,124,85,-170,349,11,258,4,,,,,,,,,,,,,,,,BULLETIN,D,1,SS,-0.083,FM,3.17,63826000000000,,197700141,,,1977,11,21,19,27,0,47.28,8.58,25,3.5,25,2.5,2,-0.1,Horgen,2,3,4,,,,,,,,
KP197808130402,47.27,7.722,23,621444,235494,-23000,1978,8,13,4,2,26,3.2,0,121,66,-168,26,79,-24,341,25,75,8,,,,,,,,,,,,,,,,BULLETIN,D,1,SS,-0.2,FM,3.01,36728000000000,,197800126,,,1978,8,13,4,2,0,47.29,7.69,24,3.4,10,3.3,-1,-0.2,Oensingen,2,3,4,,,,,,,,
KP197808281444,47.343,8.91,25,711186,244613,-25000,1978,8,28,14,44,39.9,3.1,0,9,40,-46,137,62,-120,1,60,249,12,,,,,,,,,,,,,,,,BULLETIN,B,1,ON,-0.589,FM,2.93,27861000000000,,197800131,,,1978,8,28,14,44,0,47.35,8.92,22,2.8,11,1.1,3,0.3,Baeretswil,2,3,4,,,,,,,,
KP197907032113,46.93,7.038,28,569490,197735,-28000,1979,7,3,21,13,10.9,3.8,0,285,86,179,15,89,4,150,2,240,4,,,,,,,,,,,,,,,,BULLETIN,D,1,SS,0.028,FM,3.52,213800000000000,,197900162,,,1979,7,3,21,13,0,46.925,7.072,30,3.8,22,2.6,-2,0,Murten,3,,,,,,,,,,
KP197911300044,47.278,8.517,31,681590,236905,-31000,1979,11,30,0,44,52.8,3,0,296,84,-176,206,86,-6,161,7,251,1,,,,,,,,,,,,,,,,BULLETIN,B,1,SS,-0.056,FM,2.85,21135000000000,,197900288,,,1979,11,30,0,44,0,47.27,8.51,27,3.1,25,1,4,-0.1,Albis,2,3,4,,,,,,,,
KP198007151217_1,47.628,7.518,15,605967,275263,-15000,1980,7,15,12,17,22,4.4,0,125,80,174,216,84,10,350,3,81,11,,,,,,,,,,,,,,,,BULLETIN,D,1,SS,0.089,FM,4.1,1584900000000000,,198000100,,,1980,7,15,12,17,0,47.673,7.475,12,4.7,18,6,3,-0.3,Sierentz,14,18,,,,,,,,,
KP198007151254,47.647,7.478,11,602959,277373,-11000,1980,7,15,12,54,46,3.7,0,117,46,-132,349,58,-55,314,60,55,6,,,,,,,,,,,,,,,,BULLETIN,D,1,ON,-0.572,FM,3.43,156680000000000,,198000107,,,1980,7,15,12,54,0,47.674,7.485,10,3.7,20,3,1,0,Sierentz,14,18,,,,,,,,,
