ID,LAT,LON,DEPTH,X,Y,Z,EX,EY,EZ,YR,MO,DY,HR,MI,SC,MAG,NCCP,NCCS,NCTP,NCTS,RCC,RCT,CID
KP202504051532,47.275088,5.855967,4.85,480254,237231,-4850,594.9,623.6,58526.3,2025,4,5,15,32,17.19,2.23,,,,,,,
KP197904270935,46.758,5.872,8,480317,179732,-8000,-9,-9,-9,1979,4,27,9,35,45.7,2.2,,,,,,,
KP200909260246,46.847335,5.871006,-0.63,480440,189663,630,4776.8,1458.4,2406.9,2009,9,26,2,47,9.113,2.9,,,,,,,
KP199702171707,46.818,5.873,10,480527,186399,-10000,-9,-9,-9,1997,2,17,17,7,32.2,2.3,,,,,,,
KP202407031254,47.068973,5.866035,8.003,480555,214305,-8003,391,219.3,1386.4,2024,7,3,12,54,17.356,2.17,,,,,,,
KP199803031352,45.755,5.911,10,481123,68195,-10000,-9,-9,-9,1998,3,3,13,52,35.5,2.7,,,,,,,
KP198007241049,46.758,5.883,10,481158,179716,-10000,-9,-9,-9,1980,7,24,10,49,35.5,1.8,,,,,,,
KP198104151116,47.352,5.87,7,481486,245759,-7000,-9,-9,-9,1981,4,15,11,15,44.3,1.9,,,,,,,
KP202402121903,46.280092,5.903567,-1.319,481688,126568,1319,278.6,258.3,181,2024,2,12,19,3,24.958,1.54,,,,,,,
KP202211102250,47.248392,5.875942,7.06,481706,234233,-7060,609.9,999.1,3287.2,2022,11,10,22,50,43.61,2.04,,,,,,,
KP197911180618,46.697,5.893,6,481788,172921,-6000,-9,-9,-9,1979,11,18,6,18,21.3,2.4,,,,,,,
KP199504251302,45.789,5.923,10,482130,71956,-10000,-9,-9,-9,1995,4,25,13,2,57.4,2.5,,,,,,,
KP198310131034,46.74,5.902,9,482570,177686,-9000,-9,-9,-9,1983,10,13,10,33,56,2.1,,,,,,,
KP197501080912,46.65,5.907,10,482756,167676,-10000,-9,-9,-9,1975,1,8,9,12,45.1,2.8,,,,,,,
KP198204201113,46.802,5.903,11,482781,184576,-11000,-9,-9,-9,1982,4,20,11,12,51.1,2.2,,,,,,,
KP198004021029,46.787,5.912,7,483436,182895,-7000,-9,-9,-9,1980,4,2,10,28,46.2,2.1,,,,,,,
KP197904252216,46.547,5.922,2,483683,156205,-2000,-9,-9,-9,1979,4,25,22,16,1.6,2.5,,,,,,,
KP197911170801,46.682,5.925,5,484203,171206,-5000,-9,-9,-9,1979,11,17,8,1,44.7,2.5,,,,,,,
KP202411032026,46.001555,5.948341,2.33,484550,95543,-2330,151.9,141,212.7,2024,11,3,20,26,9.5,0.7,,,,,,,
KP202411032026_1,46.00158,5.948348,2.333,484550,95546,-2333,155.5,142.7,246.5,2024,11,3,20,26,18.96,0.57,,,,,,,
KP198207091007,46.718,5.93,4,484662,175199,-4000,-9,-9,-9,1982,7,9,10,7,15.4,2,,,,,,,
KP198001091051,46.817,5.93,10,484874,186203,-10000,-9,-9,-9,1980,1,9,10,51,3.1,2.1,,,,,,,
KP201704101330,46.034868,5.955541,6.853,485177,99235,-6853,382.8,299,1498.6,2017,4,10,13,30,12.663,1.58,,,,,,,
KP202312220004,46.041553,5.957482,2.394,485342,99975,-2394,169,704.4,384.6,2023,12,22,0,4,45.16,2.12,,,,,,,
KP198707101707,46.876,5.937,12,485534,192750,-12000,-9,-9,-9,1987,7,10,17,7,46,2.3,,,,,,,
KP202203180704,46.726591,5.94288,3.024,485665,176135,-3024,688.8,264.9,926.3,2022,3,18,7,4,54.458,1.85,,,,,,,
KP202107090442,46.021163,5.965689,1.401,485934,97697,-1401,311.2,241.5,329,2021,7,9,4,42,32.67,1.55,,,,,,,
KP201908051924,46.021266,5.971223,1.883,486363,97700,-1883,318.8,563.1,915.1,2019,8,5,19,24,38.4,0.96,,,,,,,
KP197906221028,46.745,5.952,7,486401,178168,-7000,-9,-9,-9,1979,6,22,10,28,30.6,2.1,,,,,,,
