ID,LAT,LON,DEPTH,X,Y,Z,YR,MO,DY,HR,MI,SC,MAG,A,Strike1,Dip1,Rake1,Strike2,Dip2,Rake2,Pazim,Pdip,Tazim,Tdip,Q,Type
KP201506201030,46.263463,7.39963,7.07,"596992","123560",-7070,"2015","6","20","10","30",22.9,3.09,"1","87","85","176","177","86","5","312","1","42","6","1",SS
KP201605210349,46.263787,7.397845,6.987,"596854","123596",-6987,"2016","5","21","3","49",38.2,2.9,"1","99","85","178","189","88","5","324","2","54","5","2",SS
KP201606240412,46.264254,7.393987,7.199,"596557","123649",-7199,"2016","6","24","4","12",17.2,3.22,"1","278","83","-149","184","59","-8","145","27","47","16","1",ON
KP201611251829,46.263989,7.396185,7.351,"596726","123619",-7351,"2016","11","25","18","29",2.5,2.68,"1","70","61","137","184","53","37","129","5","33","50","1",OT
KP201702181322,46.263598,7.395644,6.794,"596685","123576",-6794,"2017","2","18","13","22",28.6,2.09,"1","262","88","-180","172","90","-2","127","2","217","2","2",SS
KP201711031804,46.264433,7.39418,7.291,"596572","123668",-7291,"2017","11","3","18","4",33.1,2.79,"1","278","69","-158","180","69","-22","139","30","49","0","1",SS
KP201811230052,46.263586,7.399579,6.994,"596988","123574",-6994,"2018","11","23","0","52",8.4,2.49,"2","189","64","-2","280","88","-154","148","20","52","17","1",SS
KP201908140322,46.263275,7.393797,6.581,"596542","123540",-6581,"2019","8","14","3","22",21.9,1.96,"1","88","79","176","178","87","11","312","5","43","10","1",SS
KP201909250650,46.26332,7.395017,6.523,"596636","123545",-6523,"2019","9","25","6","50",45.7,2.02,"1","268","75","-172","176","82","-15","132","16","223","5","2",SS
KP201910170007,46.263256,7.394812,6.433,"596620","123538",-6433,"2019","10","17","0","7",28.5,1.26,"1","270","86","-172","179","82","-4","135","9","45","3","2",SS
KP202104222042,46.263025,7.392975,6.697,"596479","123512",-6697,"2021","4","22","20","42",56.3,2.35,"1","275","82","-169","183","79","-8","139","13","49","2","2",SS
KP202105181021,46.263328,7.39029,6.56,"596272","123546",-6560,"2021","5","18","10","21",49.3,2.8,"1","273","78","-168","180","78","-12","137","17","227","0","1",SS
KP202105261720,46.263474,7.388522,6.482,"596136","123562",-6482,"2021","5","26","17","20",40.7,2.28,"1","93","89","171","183","81","1","139","5","48","7","2",SS
