ID,LAT,LON,DEPTH,X,Y,Z,EX,EY,EZ,YR,MO,DY,HR,MI,SC,MAG
KP199103061827,46.259576,7.397045,8.032,"596792","123128",-8032,1881.3,1861.6,4455.4,"1991","3","6","18","28",4.541,0
KP201401100446,46.263357,7.399452,7.096,"596978","123549",-7096,8.5,9.2,10.6,"2014","1","10","4","46",48,1.63
KP201401190524,46.263385,7.399811,7.103,"597006","123552",-7103,8.5,9,10.8,"2014","1","19","5","24",27.05,0.94
KP201402210405,46.263277,7.400069,7.151,"597026","123540",-7151,8.7,9.2,11.9,"2014","2","21","4","5",27.24,0.37
KP201404021705,46.263414,7.400584,7.085,"597065","123555",-7085,8.9,9.2,13.4,"2014","4","2","17","5",28.42,0.42
KP201404202241,46.263364,7.400086,7.072,"597027","123549",-7072,8.7,9.4,11.1,"2014","4","20","22","41",46.31,1.01
KP201405130446,46.263352,7.400231,7.096,"597038","123548",-7096,8.5,9,11.1,"2014","5","13","4","46",13.07,1
KP201410292038,46.263218,7.400566,7.158,"597064","123533",-7158,9.1,9.2,11.4,"2014","10","29","20","38",55.92,0.62
KP201506201030,46.263463,7.39963,7.07,"596992","123560",-7070,8.5,9.1,10.6,"2015","6","20","10","30",22.89,3.09
KP201508310017,46.263554,7.398569,7.104,"596910","123571",-7104,8.5,9.2,10.3,"2015","8","31","0","17",30.95,0.93
KP201509131129,46.263546,7.399655,7.001,"596994","123570",-7001,8.4,9.1,10.6,"2015","9","13","11","29",9.55,0.85
KP201510061953,46.26371,7.398203,7.063,"596882","123588",-7063,8.6,9.1,10.6,"2015","10","6","19","53",42.55,0.72
KP201510062242,46.263763,7.398029,7.033,"596869","123594",-7033,8.6,9.2,10.6,"2015","10","6","22","42",50.42,0.25
KP201510070010,46.263837,7.397586,7.058,"596834","123602",-7058,8.5,9,10.6,"2015","10","7","0","10",36.36,0.3
KP201510070742,46.263701,7.397938,7.083,"596861","123587",-7083,8.6,9.1,10.6,"2015","10","7","7","42",48.68,0.73
KP201510070832,46.263615,7.398322,7.092,"596891","123577",-7092,8.5,9.2,10.5,"2015","10","7","8","32",12.2,1.07
KP201510071353,46.263615,7.398181,7.101,"596880","123577",-7101,8.6,9.1,11,"2015","10","7","13","54",0.18,0.36
KP201510080205,46.263621,7.398207,7.097,"596882","123578",-7097,8.6,9.2,10.5,"2015","10","8","2","5",52.01,1.92
KP201510122020,46.263752,7.397525,7.107,"596830","123593",-7107,8.6,9.1,10.4,"2015","10","12","20","20",29.17,0.74
KP201510122139,46.263615,7.398049,7.129,"596870","123577",-7129,8.5,9.1,10.5,"2015","10","12","21","39",44.28,0.64
KP201510131736,46.263506,7.40018,7.002,"597034","123565",-7002,8.6,9.3,12.4,"2015","10","13","17","36",33.28,0.38
KP201510150133,46.2636,7.399183,6.979,"596957","123576",-6979,8.5,9.1,10.3,"2015","10","15","1","33",31.84,0.6
KP201510151702,46.263562,7.39948,6.974,"596980","123571",-6974,8.5,9.1,10.6,"2015","10","15","17","2",10.04,2.23
KP201510202059,46.263447,7.400465,7.006,"597056","123559",-7006,8.5,9.1,10.3,"2015","10","20","20","59",52.96,1.02
